category,source,target,tgt_lng
01_character,爱露,아루,ko-KR
01_character,アル,아루,ko-KR
01_character,亞瑠,아루,ko-KR
01_character,Aru,아루,ko-KR
01_character,อารุ,아루,ko-KR
01_character,艾米,에이미,ko-KR
01_character,エイミ,에이미,ko-KR
01_character,英美,에이미,ko-KR
01_character,Eimi,에이미,ko-KR
01_character,เอมิ,에이미,ko-KR
01_character,晴奈,하루나,ko-KR
01_character,ハルナ,하루나,ko-KR
01_character,羽留奈,하루나,ko-KR
01_character,Haruna,하루나,ko-KR
01_character,ฮารุนะ,하루나,ko-KR
01_character,日富美,히후미,ko-KR
01_character,ヒフミ,히후미,ko-KR
01_character,日步美,히후미,ko-KR
01_character,Hifumi,히후미,ko-KR
01_character,ฮิฟุมิ,히후미,ko-KR
01_character,日奈,히나,ko-KR
01_character,ヒナ,히나,ko-KR
01_character,陽奈,히나,ko-KR
01_character,Hina,히나,ko-KR
01_character,ฮินะ,히나,ko-KR
01_character,星野,호시노,ko-KR
01_character,ホシノ,호시노,ko-KR
01_character,Hoshino,호시노,ko-KR
01_character,โฮชิโนะ,호시노,ko-KR
01_character,伊织,이오리,ko-KR
01_character,イオリ,이오리,ko-KR
01_character,伊織,이오리,ko-KR
01_character,Iori,이오리,ko-KR
01_character,อิโอริ,이오리,ko-KR
01_character,真纪,마키,ko-KR
01_character,マキ,마키,ko-KR
01_character,真紀,마키,ko-KR
01_character,Maki,마키,ko-KR
01_character,มากิ,마키,ko-KR
01_character,妮露,네루,ko-KR
01_character,ネル,네루,ko-KR
01_character,寧瑠,네루,ko-KR
01_character,Neru,네루,ko-KR
01_character,เนรุ,네루,ko-KR
01_character,泉,이즈미,ko-KR
01_character,イズミ,이즈미,ko-KR
01_character,Izumi,이즈미,ko-KR
01_character,อิซุมิ,이즈미,ko-KR
01_character,白子,시로코,ko-KR
01_character,シロコ,시로코,ko-KR
01_character,Shiroko,시로코,ko-KR
01_character,ชิโรโกะ,시로코,ko-KR
01_character,瞬,슌,ko-KR
01_character,シュン,슌,ko-KR
01_character,旬,슌,ko-KR
01_character,Shun,슌,ko-KR
01_character,ชุน,슌,ko-KR
01_character,堇,스미레,ko-KR
01_character,スミレ,스미레,ko-KR
01_character,Sumire,스미레,ko-KR
01_character,สึมิเระ,스미레,ko-KR
01_character,鹤城,츠루기,ko-KR
01_character,ツルギ,츠루기,ko-KR
01_character,弦生,츠루기,ko-KR
01_character,Tsurugi,츠루기,ko-KR
01_character,ซึรุกิ,츠루기,ko-KR
01_character,泉奈,이즈나,ko-KR
01_character,イズナ,이즈나,ko-KR
01_character,伊樹菜,이즈나,ko-KR
01_character,Izuna,이즈나,ko-KR
01_character,อิซุนะ,이즈나,ko-KR
01_character,爱丽丝,아리스,ko-KR
01_character,アリス,아리스,ko-KR
01_character,愛麗絲,아리스,ko-KR
01_character,Aris,아리스,ko-KR
01_character,อาริสึ,아리스,ko-KR
01_character,绿,미도리,ko-KR
01_character,ミドリ,미도리,ko-KR
01_character,綠,미도리,ko-KR
01_character,Midori,미도리,ko-KR
01_character,มิโดริ,미도리,ko-KR
01_character,切里诺,체리노,ko-KR
01_character,チェリノ,체리노,ko-KR
01_character,潔莉諾,체리노,ko-KR
01_character,Cherino,체리노,ko-KR
01_character,เชริโน่,체리노,ko-KR
01_character,柚子,유즈,ko-KR
01_character,ユズ,유즈,ko-KR
01_character,Yuzu,유즈,ko-KR
01_character,ยูสึ,유즈,ko-KR
01_character,梓,아즈사,ko-KR
01_character,アズサ,아즈사,ko-KR
01_character,Azusa,아즈사,ko-KR
01_character,อาซึสะ,아즈사,ko-KR
01_character,小春,코하루,ko-KR
01_character,コハル,코하루,ko-KR
01_character,Koharu,코하루,ko-KR
