category,category_label,source_table,term_count
01_character,角色名称,AffinityLevel.json,1
01_character,角色名称,BoardNPC.json,6
01_character,角色名称,Character.json,39
01_character,角色名称,CharacterArchiveBaseInfo.json,17
01_character,角色名称,CharacterDes.json,36
01_character,角色名称,CharacterSkin.json,104
01_character,角色名称,CharacterTag.json,25
01_character,角色名称,Item.json (Type 10/Stype 46),1
01_character,角色名称,Item.json (Type 18/Stype 49),4
01_character,角色名称,NPCAffinityGroup.json,5
01_character,角色名称,NPCConfig.json,6
01_character,角色名称,SoldierCharacter.json,20
01_character,角色名称,SoldierPartner.json,11
01_character,角色名称,SoldierPartnerGroup.json,1
01_character,角色名称,SoldierSkin.json,8
01_character,角色名称,TrialCharacter.json,3
02_skill,技能名称,MainSkill.json,100
02_skill,技能名称,SecondarySkill.json,140
02_skill,技能名称,Skill.json,369
02_skill,技能名称,SkillInstance.json,3
02_skill,技能名称,SkillInstanceType.json,3
02_skill,技能名称,SubNoteSkill.json,13
03_potential,潜能名称,Item.json (Type 6/Stype 41),784
03_potential,潜能名称,Item.json (Type 6/Stype 42),260
03_potential,潜能名称,PotentialPreset.json,2
03_potential,潜能名称,SoldierPotential.json,80
03_potential,潜能名称,Talent.json,222
03_potential,潜能名称,TalentGroup.json,2
03_potential,潜能名称,TowerDefensePotential.json,75
03_potential,潜能名称,VampireTalent.json,32
04_disc,唱片 / Disc,DiscIP.json,104
04_disc,唱片 / Disc,DiscTag.json,24
04_disc,唱片 / Disc,Item.json (Type 2/Stype 12),4
04_disc,唱片 / Disc,Item.json (Type 2/Stype 40),100
04_disc,唱片 / Disc,Item.json (Type 7/Stype 8),2
05_item,道具,ActivityGoods.json,96
05_item,道具,GoldenSpyItem.json,10
05_item,道具,Item.json (Type 1/Stype 1),13
05_item,道具,Item.json (Type 11/Stype 30),3
05_item,道具,Item.json (Type 15/Stype 15),2
05_item,道具,Item.json (Type 16/Stype 1),1
05_item,道具,Item.json (Type 17/Stype 1),1
05_item,道具,Item.json (Type 18/Stype 1),1
05_item,道具,Item.json (Type 2/Stype 13),1
05_item,道具,Item.json (Type 2/Stype 2),92
05_item,道具,Item.json (Type 2/Stype 31),2
05_item,道具,Item.json (Type 2/Stype 32),3
05_item,道具,Item.json (Type 2/Stype 33),5
05_item,道具,Item.json (Type 2/Stype 34),1
05_item,道具,Item.json (Type 2/Stype 35),1
05_item,道具,Item.json (Type 2/Stype 44),2
05_item,道具,Item.json (Type 2/Stype 48),2
05_item,道具,Item.json (Type 2/Stype 6),39
05_item,道具,Item.json (Type 4/Stype 4),1
05_item,道具,Item.json (Type 5/Stype 5),1
05_item,道具,Item.json (Type 6/Stype 1),1
05_item,道具,Item.json (Type 6/Stype 2),2
05_item,道具,ItemPackMark.json,2
05_item,道具,MallGem.json,1
05_item,道具,MallMonthlyCard.json,2
05_item,道具,MallPackage.json,168
05_item,道具,MallShop.json,11
05_item,道具,MiningTreasure.json,48
05_item,道具,ResidentGoods.json,32
05_item,道具,ThrowGiftItem.json,10
05_item,道具,TowerDefenseItem.json,4
06_equipment,装备,CharGem.json,9
06_equipment,装备,CharGemInstance.json,3
06_equipment,装备,CharGemInstanceType.json,3
07_enemy,敌人,MonsterManual.json,340
07_enemy,敌人,RegionBoss.json,6
07_enemy,敌人,ScoreBossAbility.json,22
07_enemy,敌人,ScoreBossGetControl.json,26
07_enemy,敌人,TowerDefenseMonster.json,2
07_enemy,敌人,TravelerDuelBoss.json,3
