id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
CharacterArchiveContent.10301.1,基本信息,Basic Info,基本情報,기본 정보,基本資料,CharacterArchiveContent.json
CharacterArchiveContent.10302.1,成为旅人的理由,Reason for Becoming a Trekker,巡遊者になった理由,여행가가 된 이유,成為旅人的理由,CharacterArchiveContent.json
CharacterArchiveContent.10303.1,简历摘录之一,CV Excerpt 1,履歴書からの抜粋（１）,이력 발췌(1),履歷摘要之一,CharacterArchiveContent.json
CharacterArchiveContent.10304.1,简历摘录之二,CV Excerpt 2,履歴書からの抜粋（２）,이력 발췌(2),履歷摘要之二,CharacterArchiveContent.json
CharacterArchiveContent.10305.1,简历摘录之三,CV Excerpt 3,履歴書からの抜粋（３）,이력 발췌(3),履歷摘要之三,CharacterArchiveContent.json
CharacterArchiveContent.10306.1,简历摘录之四,CV Excerpt 4,履歴書からの抜粋（４）,이력 발췌(4),履歷摘要之四,CharacterArchiveContent.json
CharacterArchiveContent.10307.1,简历摘录之五,CV Excerpt 5,履歴書からの抜粋（５）,이력 발췌(5),履歷摘要之五,CharacterArchiveContent.json
CharacterArchiveContent.10308.1,同行评议,Peer Comments,同業者の評価,동료 평가,同行評價,CharacterArchiveContent.json
CharacterArchiveContent.10309.1,协会反馈,TA Feedback,地理協会の評価,협회 피드백,協會回饋,CharacterArchiveContent.json
CharacterArchiveContent.10310.1,档案附文,Appendix,備考欄,파일 부록,檔案附文,CharacterArchiveContent.json
CharacterArchiveContent.10311.1,猫之国（上）,Kingdom of Cats I,猫の国（上）,고양이 나라(상),貓之國（上）,CharacterArchiveContent.json
CharacterArchiveContent.10312.1,猫之国（下）,Kingdom of Cats II,猫の国（下）,고양이 나라(하),貓之國（下）,CharacterArchiveContent.json
CharacterArchiveContent.10313.1,武器轶事：猫条-1911双持型,Weapon Anecdote: Cat Treat-1911 Dual-Wield,武器逸話：にゃおみ～る-1911（2丁持ち）,무기 일화: 츄르-1911 양손형,武器軼事：貓條-1911雙持型,CharacterArchiveContent.json
CharacterArchiveContent.10711.1,骑士轶事·上,A Knight's Story (Part One),騎士物語（上）,기사 일화(상),騎士軼事·上,CharacterArchiveContent.json
CharacterArchiveContent.10712.1,骑士轶事·下,A Knight's Story (Part Two),騎士物語（下）,기사 일화(하),騎士軼事·下,CharacterArchiveContent.json
CharacterArchiveContent.10713.1,武器轶事：自由与荣耀,Weapon Anecdote: Freedom and Glory,武器逸話：リバティーオブグローリー,무기 일화: 자유와 영광,武器軼事：自由與榮耀,CharacterArchiveContent.json
CharacterArchiveContent.10809.1,协会反馈,TA Feedback,地理協会（？）の評価,협회 피드백,協會回饋,CharacterArchiveContent.json
CharacterArchiveContent.10811.1,猫的放生,The Releasing,猫の旅支度,고양이 방생,貓的放生,CharacterArchiveContent.json
CharacterArchiveContent.10812.1,猫的远行,The Journey,猫の旅立ち,고양이의 여행,貓的遠行,CharacterArchiveContent.json
CharacterArchiveContent.10813.1,武器轶事：猫薄荷-1886,Weapon Anecdote: Catnip-1886,武器逸話：マタタビ-1886,무기 일화: 캣닙-1886,武器軼事：貓薄荷-1886,CharacterArchiveContent.json
CharacterArchiveContent.11011.1,贵族课程·上,Noble Etiquette 101 (Part One),貴族課程・上,귀족 과목·상,貴族課程·上,CharacterArchiveContent.json
CharacterArchiveContent.11012.1,贵族课程·下,Noble Etiquette 101 (Part Two),貴族課程・下,귀족 과목·하,貴族課程·下,CharacterArchiveContent.json
CharacterArchiveContent.11013.1,武器轶事：星芒,Weapon Anecdote: Starlight,武器逸話：プリマドンナ,무기 일화: 성망,武器軼事：星芒,CharacterArchiveContent.json
CharacterArchiveContent.11111.1,正解,The Correct Answers,正解,정답,正解,CharacterArchiveContent.json
CharacterArchiveContent.11112.1,人生咨询,Life Consultation,占い師アヤメ,인생 상담,人生諮詢,CharacterArchiveContent.json
CharacterArchiveContent.11113.1,武器轶事：二百八十六型魔法书,Weapon Anecdote: MagBook S-286,武器逸話：286型魔法書,무기 일화: 286형 마법서,武器軼事：兩百八十六型魔法書,CharacterArchiveContent.json
CharacterArchiveContent.11211.1,双子星的传奇,The Legend of the Twin Stars,双子星の伝説,쌍둥이 별의 전설,雙子星的傳奇,CharacterArchiveContent.json
CharacterArchiveContent.11212.1,双子星的落幕,The Fall of the Twin Stars,双子星の幕引き,쌍둥이 별의 종말,雙子星的落幕,CharacterArchiveContent.json
CharacterArchiveContent.11213.1,武器轶事：无铭,Weapon Tale: Noname,武器逸話：ナナシ,무기 일화: 무명,武器軼事：無銘,CharacterArchiveContent.json
CharacterArchiveContent.11311.1,消防巡检日志,Fire Safety Routine Inspection Log,消防点検日誌,소방 점검 일지,消防巡檢日誌,CharacterArchiveContent.json
CharacterArchiveContent.11312.1,姐姐,Sister and Shimiao,姉,언니,姐姐,CharacterArchiveContent.json
CharacterArchiveContent.11313.1,武器轶事：师渺妙妙剑,Weapon Anecdote: Shimiao's Miaovelous Sword,武器逸話：シーミャオ妙妙剣,무기 일화: 시먀오 묘묘검,武器軼事：師渺妙妙劍,CharacterArchiveContent.json
CharacterArchiveContent.11409.1,协会反馈,TA Feedback,地理センの評価,협회 피드백,協會回饋,CharacterArchiveContent.json
CharacterArchiveContent.11411.1,音乐与射击节律,Shooting to the Beat,射撃と旋律,음악과 사격의 리듬,音樂與射擊節律,CharacterArchiveContent.json
CharacterArchiveContent.11412.1,黑暗之力的起源,The Origin of the Dark Power,漆黒の力,칠흑의 힘 기원,黑暗之力的起源,CharacterArchiveContent.json
CharacterArchiveContent.11413.1,武器轶事：逗猫棒-魔典断章改,Weapon Anecdote: Cat Wand: Uncompleted Codex Entry MK Ⅰ,武器逸話：ねこじゃらし-魔典断章改,무기 일화: 고양이 노리개-마전단장 개량형,武器軼事：逗貓棒-魔典斷章改,CharacterArchiveContent.json
