category,category_label,id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
01_character,角色名称,AffinityLevel.2068.1,灵魂伴侣,Soulmate,魂の伴侶,영혼단짝,靈魂伴侶,AffinityLevel.json
01_character,角色名称,BoardNPC.173174.1,珀尔娜&维嘉尔,Bernina & Virigia,ヴェルナー&ヴェルジュ,베르너&베르주,珀爾娜&維嘉爾,BoardNPC.json
01_character,角色名称,BoardNPC.713503.1,情人节雾语,Valentine's Day Mistique,ミスティ,발렌타인 미스티,情人節霧語,BoardNPC.json
01_character,角色名称,BoardNPC.9102.1,薇洛,Willow,ウィロー,윌로,薇洛,BoardNPC.json
01_character,角色名称,BoardNPC.9131.1,布洛克,Bloc,ブロッチ,블롯치,布洛可,BoardNPC.json
01_character,角色名称,BoardNPC.9159.1,彼岸,Horizon,カナタ,카나타,彼岸,BoardNPC.json
01_character,角色名称,BoardNPC.916402.1,伊织,Iori,イオリ,이오리,伊織,BoardNPC.json
01_character,角色名称,Character.103.1,琥珀,Amber,コハク,코하쿠,琥珀,Character.json
01_character,角色名称,Character.107.1,缇莉娅,Tilia,ティリア,틸리아,緹莉婭,Character.json
01_character,角色名称,Character.108.1,卡西米拉,Kasimira,カシミラ,카시미라,卡西米拉,Character.json
01_character,角色名称,Character.110.1,翡冷翠,Firenze,フィレン,피렌,翡冷翠,Character.json
01_character,角色名称,Character.111.1,鸢尾,Iris,アヤメ,아야메,鳶尾,Character.json
01_character,角色名称,Character.112.1,尘沙,Noya,セイナ,세이나,塵沙,Character.json
01_character,角色名称,Character.113.1,师渺,Shimiao,シーミャオ,시먀오,師渺,Character.json
01_character,角色名称,Character.114.1,猫眼,Chaton,シャトン,샤통,貓眼,Character.json
01_character,角色名称,Character.115.1,火垂,Firefly,ホタル,호타루,火垂,Character.json
01_character,角色名称,Character.116.1,岭川,Ridge,レイセン,레이센,嶺川,Character.json
01_character,角色名称,Character.117.1,璟麟,Jinglin,ジンリン,징린,璟麟,Character.json
01_character,角色名称,Character.118.1,科洛妮丝,Coronis,クルニス,크루니스,柯洛妮絲,Character.json
01_character,角色名称,Character.119.1,花原,Nanoha,ナノハ,나노하,花原,Character.json
01_character,角色名称,Character.120.1,卡娜丝,Canace,カナーチェ,카나체,卡娜絲,Character.json
01_character,角色名称,Character.123.1,杏子,Ann,アンズ,안즈,杏子,Character.json
01_character,角色名称,Character.125.1,苍兰,Freesia,フリージア,프리지아,蒼蘭,Character.json
01_character,角色名称,Character.126.1,紫槿,Flora,フローラ,플로라,紫槿,Character.json
