category,label,term_count,glossary_count,glossary_file,terms_file,target_language
01_character,角色与卡牌,0,0,01_character/01_character_glossary.csv,01_character/01_character_terms.csv,id-ID
02_skill,技能与战斗效果,0,0,02_skill/02_skill_glossary.csv,02_skill/02_skill_terms.csv,id-ID
03_talent,天赋与觉醒,0,0,03_talent/03_talent_glossary.csv,03_talent/03_talent_terms.csv,id-ID
04_equipment,装备与专属武器,0,0,04_equipment/04_equipment_glossary.csv,04_equipment/04_equipment_terms.csv,id-ID
05_item,道具与材料,0,0,05_item/05_item_glossary.csv,05_item/05_item_terms.csv,id-ID
06_enemy,敌人与BOSS,0,0,06_enemy/06_enemy_glossary.csv,06_enemy/06_enemy_terms.csv,id-ID
07_stage,关卡与章节,0,0,07_stage/07_stage_glossary.csv,07_stage/07_stage_terms.csv,id-ID
08_event,活动玩法,0,0,08_event/08_event_glossary.csv,08_event/08_event_terms.csv,id-ID
09_gacha,抽卡与兑换,0,0,09_gacha/09_gacha_glossary.csv,09_gacha/09_gacha_terms.csv,id-ID
10_shop,商店与礼包,0,0,10_shop/10_shop_glossary.csv,10_shop/10_shop_terms.csv,id-ID
11_homeland,家园与猫咖,0,0,11_homeland/11_homeland_glossary.csv,11_homeland/11_homeland_terms.csv,id-ID
12_system,系统与任务,0,0,12_system/12_system_glossary.csv,12_system/12_system_terms.csv,id-ID
13_ui,UI与界面文本,9916,28827,13_ui/13_ui_glossary.csv,13_ui/13_ui_terms.csv,id-ID
14_story,剧情专有名词,0,0,14_story/14_story_glossary.csv,14_story/14_story_terms.csv,id-ID
15_location,地点与区域,0,0,15_location/15_location_glossary.csv,15_location/15_location_terms.csv,id-ID
16_terminology,游戏机制术语,0,0,16_terminology/16_terminology_glossary.csv,16_terminology/16_terminology_terms.csv,id-ID
TOTAL,,9916,28827,,,id-ID
