category,label,term_count,glossary_count,glossary_file,terms_file,target_language
01_character,角色与卡牌,19600,33381,01_character/01_character_glossary.csv,01_character/01_character_terms.csv,th-TH
02_skill,技能与战斗效果,8954,14808,02_skill/02_skill_glossary.csv,02_skill/02_skill_terms.csv,th-TH
03_talent,天赋与觉醒,2503,4074,03_talent/03_talent_glossary.csv,03_talent/03_talent_terms.csv,th-TH
04_equipment,装备与专属武器,6316,2161,04_equipment/04_equipment_glossary.csv,04_equipment/04_equipment_terms.csv,th-TH
05_item,道具与材料,4538,12675,05_item/05_item_glossary.csv,05_item/05_item_terms.csv,th-TH
06_enemy,敌人与BOSS,27,124,06_enemy/06_enemy_glossary.csv,06_enemy/06_enemy_terms.csv,th-TH
07_stage,关卡与章节,6244,17304,07_stage/07_stage_glossary.csv,07_stage/07_stage_terms.csv,th-TH
08_event,活动玩法,17274,21356,08_event/08_event_glossary.csv,08_event/08_event_terms.csv,th-TH
09_gacha,抽卡与兑换,53,140,09_gacha/09_gacha_glossary.csv,09_gacha/09_gacha_terms.csv,th-TH
10_shop,商店与礼包,4589,1688,10_shop/10_shop_glossary.csv,10_shop/10_shop_terms.csv,th-TH
11_homeland,家园与猫咖,8871,25127,11_homeland/11_homeland_glossary.csv,11_homeland/11_homeland_terms.csv,th-TH
12_system,系统与任务,6007,18723,12_system/12_system_glossary.csv,12_system/12_system_terms.csv,th-TH
13_ui,UI与界面文本,9888,29082,13_ui/13_ui_glossary.csv,13_ui/13_ui_terms.csv,th-TH
14_story,剧情专有名词,3031,5333,14_story/14_story_glossary.csv,14_story/14_story_terms.csv,th-TH
15_location,地点与区域,449,1635,15_location/15_location_glossary.csv,15_location/15_location_terms.csv,th-TH
16_terminology,游戏机制术语,1634,4115,16_terminology/16_terminology_glossary.csv,16_terminology/16_terminology_terms.csv,th-TH
TOTAL,,99978,191726,,,th-TH
