category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
02_school,学校,School.Abydos,阿拜多斯,アビドス,阿拜多斯,Abydos,아비도스,อะบิดอส,localization.json:School
02_school,学校,School.Arius,阿里乌斯,アリウス,奧利斯,Arius,아리우스,อาเรียส,localization.json:School
02_school,学校,School.Gehenna,歌赫娜,ゲヘナ,格黑娜,Gehenna,게헨나,เกเฮนน่า,localization.json:School
02_school,学校,School.Hyakkiyako,百鬼夜行,百鬼夜行,百鬼夜行,Hyakkiyako,백귀야행,เฮียกคิยาโค,localization.json:School
02_school,学校,School.Millennium,千禧年,ミレニアム,千年,Millennium,밀레니엄,มิลเลเนียม,localization.json:School
02_school,学校,School.RedWinter,红冬,レッドウィンター,赤冬,Red Winter,붉은겨울,เรดวินเทอร์,localization.json:School
02_school,学校,School.Shanhaijing,山海经,山海経,山海經,Shanhaijing,산해경,ซานไห่จิง,localization.json:School
02_school,学校,School.SRT,SRT,SRT,SRT,SRT,SRT,SRT,localization.json:School
02_school,学校,School.Trinity,崔尼蒂,トリニティ,三一,Trinity,트리니티,ทรีนิตี้,localization.json:School
02_school,学校,School.Valkyrie,瓦尔基丽,ヴァルキューレ,女武神,Valkyrie,발키리,วัลคิรี่,localization.json:School
02_school,学校,School.ETC,其他,その他,其他,Etc.,그 외,อื่นๆ,localization.json:School
02_school,学校,School.Tokiwadai,常盤台中学,常盤台中学,常盤台中學,Tokiwadai,토키와다이 중학교,โทคิวะได,localization.json:School
02_school,学校,School.Sakugawa,柵川中学,柵川中学,柵川中學,Sakugawa,사쿠가와 중학교,ซากุงาวะ,localization.json:School
02_school,学校,School.Other,其他,その他,其他,Other,그 외,อื่นๆ,localization.json:School
02_school,学校,SchoolLong.Abydos,阿拜多斯,アビドス高等学校,阿拜多斯高中,Abydos High School,아비도스 고등학교,โรงเรียนมัธยมอะบิดอส,localization.json:SchoolLong
02_school,学校,SchoolLong.Arius,阿里乌斯,アリウス分校,奧利斯分校,Arius Satellite School,아리우스 분교,โรงเรียนสาขาอาเรียส,localization.json:SchoolLong
02_school,学校,SchoolLong.Gehenna,歌赫娜,ゲヘナ学園,格黑娜學園,Gehenna Academy,게헨나 학원,สถาบันเกเฮนน่า,localization.json:SchoolLong
02_school,学校,SchoolLong.Hyakkiyako,百鬼夜行,百鬼夜行連合学院,百鬼夜行聯合學園,Allied Hyakkiyako Academy,백귀야행 연합학원,สหพันธ์เฮียกคิยาโค,localization.json:SchoolLong
02_school,学校,SchoolLong.Millennium,千禧年,ミレニアムサイエンススクール,千年科學學園,Millennium Science School,밀레니엄 사이언스 스쿨,โรงเรียนวิทย์มิลเลเนียม,localization.json:SchoolLong
02_school,学校,SchoolLong.RedWinter,红冬,レッドウィンター連邦学園,赤冬聯邦學園,Red Winter Federal Academy,붉은겨울 연방학원,สถาบันสหพันธ์เรดวินเทอร์,localization.json:SchoolLong
02_school,学校,SchoolLong.Shanhaijing,山海经,山海経高級中学校,山海經高級中學,Shanhaijing Academy,산해경 고급중학교,โรงเรียนมัธยมซานไห่จิง,localization.json:SchoolLong
02_school,学校,SchoolLong.SRT,SRT,SRT特殊学園,SRT特殊學園,SRT Academy,SRT 특수학원,สถาบันพิเศษ SRT,localization.json:SchoolLong
02_school,学校,SchoolLong.Trinity,崔尼蒂,トリニティ総合学園,三一綜合學園,Trinity General School,트리니티 종합학원,โรงเรียนสามัญทรีนิตี้,localization.json:SchoolLong
02_school,学校,SchoolLong.Valkyrie,瓦尔基丽,ヴァルキューレ警察学校,女武神警察學園,Valkyrie Police School,발키리 경찰학교,สถาบันฝึกตำรวจวัลคิรี่,localization.json:SchoolLong
02_school,学校,SchoolLong.Tokiwadai,常盤台中學,常盤台中学,常盤台中學,Tokiwadai Middle School,토키와다이 중학교,โรงเรียนมัธยมต้นโทคิวะได,localization.json:SchoolLong
02_school,学校,SchoolLong.Sakugawa,柵川中學,柵川中学,柵川中學,Sakugawa Middle School,사쿠가와 중학교,โรงเรียนมัธยมต้นซากุงาวะ,localization.json:SchoolLong
