category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
03_club,社团,Club.Kohshinjo68,便利屋68,便利屋68,便利屋68,Problem Solver 68,흥신소 68,หน่วยรับจ้างสารพัด 68,localization.json:Club
03_club,社团,Club.Justice,正义实现部,正義実現委員会,實現正義部,Justice Task Force,정의실현부,ชมรมทวงความยุติธรรม,localization.json:Club
03_club,社团,Club.CleanNClearing,C&C,Cleaning&Clearing,Cleaning&Clearing,Cleaning & Clearing,Cleaning&Clearing,C&C,localization.json:Club
03_club,社团,Club.BookClub,图书管理部,図書委員会,圖書委員會,Library Committee,도서부,ชมรมอ่านหนังสือ,localization.json:Club
03_club,社团,Club.Countermeasure,对策委员会,対策委員会,對策委員會,Foreclosure Task Force,대책위원회,คณะกรรมการแผนงาน,localization.json:Club
03_club,社团,Club.Engineer,工程部,エンジニア部,工程師部,Engineering Department,엔지니어부,ชมรมวิศวกรรม,localization.json:Club
03_club,社团,Club.FoodService,供餐部,給食部,供給部,School Lunch Club,급양부,ชมรมโภชนาการ,localization.json:Club
03_club,社团,Club.Fuuki,风纪委员会,風紀委員会,風紀委員會,Prefect Team,선도부,คณะกรรมการวินัย,localization.json:Club
03_club,社团,Club.GourmetClub,美食研究会,美食研究会,美食研究會,Gourmet Research Society,미식연구회,ชมรมชิมอาหาร,localization.json:Club
03_club,社团,Club.HoukagoDessert,甜点部,放課後スイーツ部,放學後的甜點部,After-School Sweets Club,방과후 디저트부,ชมรมของหวานหลังเลิกเรียน,localization.json:Club
03_club,社团,Club.KnightsHospitaller,救护骑士团,救護騎士団,救護騎士團,Remedial Knights,구호기사단,ชมรมอัศวินบรรเทาทุกข์,localization.json:Club
03_club,社团,Club.MatsuriOffice,庆典运营管理部,お祭り運営委員会,節慶營運管理部,Festival Operations Department,마츠리운영관리부,ชมรมจัดงานเทศกาล,localization.json:Club
03_club,社团,Club.Meihuayuan,梅花园,梅花園,梅花園,Plum Blossom Garden,매화원,สวนต้นบ๊วย,localization.json:Club
03_club,社团,Club.Onmyobu,阴阳部,陰陽部,陰陽部,Yin-Yang Club,음양부,ชมรมหยินหยาง,localization.json:Club
03_club,社团,Club.RemedialClass,补习部,補習授業部,補課部,Make-Up Work Club,보충수업부,ชมรมชั้นเรียนเสริม,localization.json:Club
03_club,社团,Club.SPTF,超自然现象调查部,特異現象捜査部,特異現象搜查部,Super Phenomenon Task Force,초현상특무부,ชมรมปรากฏการณ์ลี้ลับ,localization.json:Club
03_club,社团,Club.Shugyobu,修行部,修行部,修行部,Inner Discipline Club,수행부,ชมรมฝึกฝน,localization.json:Club
03_club,社团,Club.Endanbou,炼丹研究会,錬丹術研究会,鍊丹術研究會,Eastern Alchemy Society,연단방,ชมรมวิจัยศาสตร์การปรุงยา,localization.json:Club
03_club,社团,Club.TheSeminar,研讨会,セミナー,研討會,Seminar,세미나,เซมิน่า,localization.json:Club
03_club,社团,Club.TrainingClub,健身部,トレーニング部,訓練部,Athletics Training Club,트레이닝부,ชมรมออกกำลังกาย,localization.json:Club
03_club,社团,Club.TrinityVigilance,崔尼蒂自警团,トリニティ自警団,三一自衛隊,Trinity's Vigilante Crew,트리니티 자경단,กลุ่มรักษาความสงบแห่งทรีนิตี้,localization.json:Club
03_club,社团,Club.Veritas,真理社,ヴェリタス,貝里塔斯,Veritas,베리타스,เวอริทัส,localization.json:Club
03_club,社团,Club.NinpoKenkyubu,忍术研究部,忍術研究部,忍術研究部,Ninjutsu Research Club,인법연구부,ชมรมวิจัยศาสตร์นินจา,localization.json:Club
03_club,社团,Club.GameDev,游戏开发部,ゲーム開発部,遊戲開發部,Game Development Department,게임개발부,ชมรมพัฒนาเกม,localization.json:Club
03_club,社团,Club.RedwinterSecretary,红冬事务局,レッドウィンター事務局,赤冬事務局,Red Winter Office,붉은겨울 사무국,สำนักเลขาธิการเรดวินเทอร์,localization.json:Club
