id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
ContentWord.1000.1,诺瓦帝国,Nova Empire,ノヴァ帝国,노바 제국,諾瓦帝國,ContentWord.json
ContentWord.1002.1,绯曈传讯,Scarlet Sights Media,レッドアイズ,레드 아이즈,緋瞳傳訊,ContentWord.json
ContentWord.1008.1,雏菊之家,Daisy Orphanage,ヒナギクの家,히나기쿠의 집,雛菊之家,ContentWord.json
ContentWord.1009.1,余烬,Nocturn Eterna,永夜,영야,餘燼,ContentWord.json
ContentWord.1010.1,诺瓦盾,Nova Dorra,ノヴァ盾,노바의 방패,諾瓦盾,ContentWord.json
Force.1.1,空白旅团,New Star Guild,空白旅団,공백 여단,空白旅團,Force.json
Force.10.1,恩赐意志,Grace Imperium,恩恵意志,은혜의지,恩賜意志,Force.json
Force.11.1,联合种业,United Harvest,アグリ・ユニオン,아그리 유니온,聯合種業,Force.json
Force.12.1,花令旅团,Petal Bloom,花咲旅団,하나사키 여단,花令旅團,Force.json
Force.13.1,地理协会,Trekker Association,地理協会,지리 협회,地理協會,Force.json
Force.14.1,凤凰炒蛋,Fenghuang Diner,鳳凰炒飯,봉황 반점,鳳凰炒蛋,Force.json
Force.15.1,白泽公署,Baize Bureau,白沢管理局,백택 관리국,白澤公署,Force.json
Force.16.1,云笈文化,Yunji Studio,雲笈文化,운급문화,雲笈文化,Force.json
Force.17.1,柔光会社,Neo Grace Organization,ムーナワークス,무나 워크스,柔光會社,Force.json
Force.2.1,自由旅人,Freelance Trekker,フリー巡遊者,자유 여행가,自由旅人,Force.json
Force.4.1,帝国卫队,Imperial Guard,帝国護衛隊,제국 호위대,帝國衛隊,Force.json
Force.5.1,白猫剧团,White Cat Troupe,劇団白猫,백묘 극단,白貓劇團,Force.json
Force.6.1,灰风俱乐部,Ashwind Clan,ウィンドアッシュ,윈드 애시,灰風俱樂部,Force.json
Force.7.1,万送屋,Post Haste,ヨロズ配達,요로즈 택배,萬送屋,Force.json
Force.8.1,谷风家政,Goodwind Homecare,谷風家政,타니카제 가사 대행,谷風家政,Force.json
Force.9.1,绯瞳传讯,Scarlet Sights Media,レッドアイズ,레드 아이즈,緋瞳傳訊,Force.json
