category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
13_equipment,装备,Equipment.1,初级强化石,初級強化珠,下級強化石,Lesser Enhancement Stone,하급 강화석,หินอัปเกรดขั้นต่ำ,equipment.json
13_equipment,装备,Equipment.2,中级强化石,中級強化珠,一般強化石,Normal Enhancement Stone,일반 강화석,หินอัปเกรดขั้นกลาง,equipment.json
13_equipment,装备,Equipment.3,高级强化石,上級強化珠,高級強化石,Advanced Enhancement Stone,상급 강화석,หินอัปเกรดขั้นสูง,equipment.json
13_equipment,装备,Equipment.4,最高级强化石,最上級強化珠,最高級強化石,Superior Enhancement Stone,최상급 강화석,หินอัปเกรดขั้นสูงสุด,equipment.json
13_equipment,装备,Equipment.10,锈蚀的弹簧,錆びたスプリング,生鏽的彈簧,Rusty Spring,녹슨 스프링,สปริงขึ้นสนิม,equipment.json
13_equipment,装备,Equipment.11,良好的弹簧,普通のスプリング,完整的彈簧,Intact Spring,온전한 스프링,สปริงสมบูรณ์,equipment.json
13_equipment,装备,Equipment.12,铬合金弹簧,クロムスプリング,鉻彈簧,Chromium Spring,크로뮴 스프링,สปริงโครเมียม,equipment.json
13_equipment,装备,Equipment.13,钛合金弹簧,チタンスプリング,鈦彈簧,Titanium Spring,티타늄 스프링,สปริงไทเทเนียม,equipment.json
13_equipment,装备,Equipment.20,锈蚀的击锤,錆びたハンマー,生鏽的錘子,Rusty Hammer,녹슨 해머,แฮมเมอร์ปืนขึ้นสนิม,equipment.json
13_equipment,装备,Equipment.21,良好的击锤,普通のハンマー,完整的錘子,Intact Hammer,온전한 해머,แฮมเมอร์ปืนสมบูรณ์,equipment.json
13_equipment,装备,Equipment.22,铬合金击锤,クロムハンマー,鉻金屬鎚子,Chromium Hammer,크로뮴 해머,แฮมเมอร์ปืนโครเมียม,equipment.json
13_equipment,装备,Equipment.23,钛合金击锤,チタンハンマー,鈦金屬鎚子,Titanium Hammer,티타늄 해머,แฮมเมอร์ปืนไทเทเนียม,equipment.json
13_equipment,装备,Equipment.30,锈蚀的枪管,錆びた銃身,生鏽的槍管,Rusty Barrel,녹슨 총열,ลำปืนขึ้นสนิม,equipment.json
