id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
CharGem.101.1,虔信者尖章,Devotee's Spike Emblem,福者の三角章,신앙자의 배지,虔信者尖章,CharGem.json
CharGem.102.1,虔信者方菱章,Devotee's Rhombus Emblem,列福の円形章,신앙자의 메달,虔信者方菱章,CharGem.json
CharGem.103.1,虔信者星闪章,Devotee's Starlight Emblem,列聖の六星輝章,신앙자의 훈장,虔信者星閃章,CharGem.json
CharGem.201.1,开拓者尖章,Pathfinder's Spike Emblem,探検者の三角章,개척자의 배지,開拓者尖章,CharGem.json
CharGem.202.1,开拓者方菱章,Pathfinder's Rhombus Emblem,冒険者の円形章,개척자의 메달,開拓者方菱章,CharGem.json
CharGem.203.1,开拓者星闪章,Pathfinder's Starlight Emblem,開拓者の六星輝章,개척자의 훈장,開拓者星閃章,CharGem.json
CharGem.301.1,保卫者尖章,Defender's Spike Emblem,従士の三角章,수호자의 배지,保衛者尖章,CharGem.json
CharGem.302.1,保卫者方菱章,Defender's Rhombus Emblem,騎士の円形章,수호자의 메달,保衛者方菱章,CharGem.json
CharGem.303.1,保卫者星闪章,Defender's Starlight Emblem,騎士団長の六星輝章,수호자의 훈장,保衛者星閃章,CharGem.json
CharGemInstance.1000.1,街市激斗,Clan Clash,裏路地の喧嘩祭り,길거리 난투,街市激鬥,CharGemInstance.json
CharGemInstance.2000.1,雾境突围,Misty Mayhem,恐怖の人食い森,안개 돌파,霧境突圍,CharGemInstance.json
CharGemInstance.3000.1,深境清扫,Slime Swarm,深淵の異変,심연 소탕,深境清掃,CharGemInstance.json
CharGemInstanceType.1.1,帝国卫队 好市民点数,Imperial Guard: Citizen Point,帝国護衛隊 騎士道精神コイン,제국 호위대 모범 시민 점수,帝國衛隊 好市民點數,CharGemInstanceType.json
CharGemInstanceType.2.1,地理协会 协会贡献证,Trekker Association: Contribution Pass,地理協会 冒険者の証,지리 협회 협회 공헌증,地理協會 協會貢獻證,CharGemInstanceType.json
CharGemInstanceType.3.1,恩赐意志 恩赐消费券,Grace Imperium: Grace Voucher,恩恵意志 信仰の証,은혜의지 은혜 소비 쿠폰,恩賜意志 恩賜消費券,CharGemInstanceType.json
