ship_id,zh_CN,en,ja,zh_TW,ko,english_name,ship_type_zh,ship_type_en,nation_zh,nation_en,variant
100001,泛用型布里,Universal Bulin,汎用型ブリ,泛用型布里,범용형 부린,UNIV Universal Bulin,驱逐,Destroyer,通用,Universal,
100011,试作型布里MKII,Prototype Bulin MKII,試作型ブリMKII,試作型布里MKII,시제형 부린 MKⅡ,UNIV Trial Bulin MKII,驱逐,Destroyer,通用,Universal,II型
100021,特装型布里MKIII,Specialized Bulin Custom MKIII,特装型ブリMKⅢ,特裝型布里MKIII,특장형 부린 MKIII,UNIV Ultra Bulin MKIII,驱逐,Destroyer,通用,Universal,
101021,杜威,Dewey,デューイ,杜威,듀이,USS Dewey,驱逐,Destroyer,白鹰,Eagle Union,
101031,卡辛,Cassin,カッシン,卡辛,캐신,USS Cassin,驱逐,Destroyer,白鹰,Eagle Union,
101041,唐斯,Downes,ダウンズ,唐斯,다운즈,USS Downes,驱逐,Destroyer,白鹰,Eagle Union,
101051,格里德利,Gridley,グリッドレイ,格里德利,그리들리,USS Gridley,驱逐,Destroyer,白鹰,Eagle Union,
101061,克雷文,Craven,クレイヴン,克雷文,크레이븐,USS Craven,驱逐,Destroyer,白鹰,Eagle Union,
101071,麦考尔,McCall,マッコール,麥考爾,맥콜,USS McCall,驱逐,Destroyer,白鹰,Eagle Union,
101081,莫里,Maury,モーリー,莫里,모리,USS Maury,驱逐,Destroyer,白鹰,Eagle Union,
101091,弗莱彻,Fletcher,フレッチャー,佛萊契爾,플레처,USS Fletcher,驱逐,Destroyer,白鹰,Eagle Union,
101101,威廉·D·波特,William D. Porter,ウィリアム・D・ポーター,威廉·D·波特,윌리엄 D 포터,USS William D. Porter,驱逐,Destroyer,白鹰,Eagle Union,
101111,查尔斯·奥斯本,Charles Ausburne,チャールズ・オースバーン,查爾斯·奧斯本,찰스 오스본,USS Charles Ausburne,驱逐,Destroyer,白鹰,Eagle Union,
101121,撒切尔,Thatcher,サッチャー,柴契爾,대처,USS Thatcher,驱逐,Destroyer,白鹰,Eagle Union,
101131,奥利克,Aulick,オーリック,奧利克,얼릭,USS Aulick,驱逐,Destroyer,白鹰,Eagle Union,
101141,富特,Foote,フート,富特,푸트,USS Foote,驱逐,Destroyer,白鹰,Eagle Union,
101151,斯彭斯,Spence,スペンス,斯彭斯,스펜스,USS Spence,驱逐,Destroyer,白鹰,Eagle Union,
101161,本森,Benson,ベンソン,班森,벤슨,USS Benson,驱逐,Destroyer,白鹰,Eagle Union,
101171,拉菲,Laffey,ラフィー,拉菲,라피,USS Laffey,驱逐,Destroyer,白鹰,Eagle Union,
101241,西姆斯,Sims,シムス,西姆斯,심즈,USS Sims,驱逐,Destroyer,白鹰,Eagle Union,
101251,哈曼,Hammann,ハムマン,哈曼,허먼,USS Hammann,驱逐,Destroyer,白鹰,Eagle Union,
101261,埃尔德里奇,Eldridge,エルドリッジ,埃爾德里奇,엘드릿지,USS Eldridge,驱逐,Destroyer,白鹰,Eagle Union,
101271,贝利,Bailey,ベイリー,貝利,베일리,USS Bailey,驱逐,Destroyer,白鹰,Eagle Union,
101291,拉德福特,Radford,ラドフォード,拉德福特,래드포드,USS Radford,驱逐,Destroyer,白鹰,Eagle Union,
101301,杰金斯,Jenkins,ジェンキンス,傑金斯,젠킨스,USS Jenkins,驱逐,Destroyer,白鹰,Eagle Union,
101311,尼古拉斯,Nicholas,ニコラス,尼古拉斯,니콜라스,USS Nicholas,驱逐,Destroyer,白鹰,Eagle Union,
101331,布什,Bush,ブッシュ,布希,부시,USS Bush,驱逐,Destroyer,白鹰,Eagle Union,
101341,黑泽伍德,Hazelwood,ヘイゼルウッド,黑澤伍德,헤이즐우드,USS Hazelwood,驱逐,Destroyer,白鹰,Eagle Union,
101351,贝奇,Bache,バッチ,貝奇,배시,USS Bache,驱逐,Destroyer,白鹰,Eagle Union,
101361,霍比,Hobby,ホビー,霍比,하비,USS Hobby,驱逐,Destroyer,白鹰,Eagle Union,
101371,科尔克,Kalk,カーク,科爾克,커크,USS Kalk,驱逐,Destroyer,白鹰,Eagle Union,
101381,金伯利,Kimberly,キンバリー,金伯利,킴벌리,USS Kimberly,驱逐,Destroyer,白鹰,Eagle Union,
101391,马拉尼,Mullany,マラニー,馬拉尼,멀라니,USS Mullany,驱逐,Destroyer,白鹰,Eagle Union,
101401,艾尔温,Aylwin,エールウィン,艾爾文,아일윈,USS Aylwin,驱逐,Destroyer,白鹰,Eagle Union,
101411,斯坦利,Stanly,スタンリー,斯坦利,스탠리,USS Stanly,驱逐,Destroyer,白鹰,Eagle Union,
101421,斯莫利,Smalley,スモーリー,斯莫利,스몰리,USS Smalley,驱逐,Destroyer,白鹰,Eagle Union,
101431,哈尔西·鲍威尔,Halsey Powell,ハルゼー・パウエル,海爾賽‧鮑威爾,할시 파웰,USS Halsey Powell,驱逐,Destroyer,白鹰,Eagle Union,
101441,库珀,Cooper,クーパー,庫珀,쿠퍼,USS Cooper,驱逐,Destroyer,白鹰,Eagle Union,
101451,艾伦·萨姆纳,Allen M. Sumner,アレン・M・サムナー,艾倫·M·桑拿,알렌 M. 섬너,USS Allen M. Sumner,驱逐,Destroyer,白鹰,Eagle Union,
101461,史蒂芬·波特,Stephen Potter,ステフェン・ポッター,史蒂芬·波特,스테판 포터,USS Stephen Potter,驱逐,Destroyer,白鹰,Eagle Union,
101471,莫里森,Morrison,モリソン,莫里森,모리슨,USS Morrison,驱逐,Destroyer,白鹰,Eagle Union,
101481,英格拉罕,Ingraham,イングラハム,英格拉罕,잉그레이엄,USS Ingraham,驱逐,Destroyer,白鹰,Eagle Union,
101491,布里斯托尔,Bristol,ブリストル,布里斯托爾,브리스톨,USS Bristol,驱逐,Destroyer,白鹰,Eagle Union,
101501,哈曼II,Hammann II,ハムマンⅡ,哈曼II,허먼Ⅱ,USS Hammann II,驱逐,Destroyer,白鹰,Eagle Union,II型
101511,拉菲II,Laffey II,ラフィーⅡ,拉菲II,라피Ⅱ,USS Laffey II,驱逐,Destroyer,白鹰,Eagle Union,II型
101521,贝尔,Bell,ベル,貝爾,벨,USS Bell,驱逐,Destroyer,白鹰,Eagle Union,
101531,米勒,Miller,ミラー,米勒,밀러,USS Miller,驱逐,Destroyer,白鹰,Eagle Union,
101551,克拉伦斯·K·布朗森,Clarence K. Bronson,クラレンス・K・ブロンソン,克拉倫斯·K·布朗森,클래런스 K 브론슨,USS Clarence K. Bronson,驱逐,Destroyer,白鹰,Eagle Union,
102011,奥马哈,Omaha,オマハ,奧馬哈,오마하,USS Omaha,轻巡,Light Cruiser,白鹰,Eagle Union,
102021,罗利,Raleigh,ローリー,羅利,롤리,USS Raleigh,轻巡,Light Cruiser,白鹰,Eagle Union,
102031,布鲁克林,Brooklyn,ブルックリン,布魯克林,브루클린,USS Brooklyn,轻巡,Light Cruiser,白鹰,Eagle Union,
102041,菲尼克斯,Phoenix,フェニックス,菲尼克斯,피닉스,USS Phoenix,轻巡,Light Cruiser,白鹰,Eagle Union,
102051,海伦娜,Helena,ヘレナ,海倫娜,헬레나,USS Helena,轻巡,Light Cruiser,白鹰,Eagle Union,
102061,亚特兰大,Atlanta,アトランタ,亞特蘭大,애틀란타,USS Atlanta,轻巡,Light Cruiser,白鹰,Eagle Union,
102071,朱诺,Juneau,ジュノー,朱諾,쥬노,USS Juneau,轻巡,Light Cruiser,白鹰,Eagle Union,
102081,圣地亚哥,San Diego,サンディエゴ,聖地牙哥,샌디에이고,USS San Diego,轻巡,Light Cruiser,白鹰,Eagle Union,
102091,克利夫兰,Cleveland,クリーブランド,克里夫蘭,클리블랜드,USS Cleveland,轻巡,Light Cruiser,白鹰,Eagle Union,
102101,哥伦比亚,Columbia,コロンビア,哥倫比亞,컬럼비아,USS Columbia,轻巡,Light Cruiser,白鹰,Eagle Union,
102111,里士满,Richmond,リッチモンド,里奇蒙,리치몬드,USS Richmond,轻巡,Light Cruiser,白鹰,Eagle Union,
102121,火奴鲁鲁,Honolulu,ホノルル,火奴魯魯,호놀룰루,USS Honolulu,轻巡,Light Cruiser,白鹰,Eagle Union,
102131,圣路易斯,St. Louis,セントルイス,聖路易斯,세인트루이스,USS St.Louis,轻巡,Light Cruiser,白鹰,Eagle Union,
102141,蒙彼利埃,Montpelier,モントピリア,蒙彼利埃,몬트필리어,USS Montpelier,轻巡,Light Cruiser,白鹰,Eagle Union,
102151,丹佛,Denver,デンバー,丹佛,덴버,USS Denver,轻巡,Light Cruiser,白鹰,Eagle Union,
102161,孟菲斯,Memphis,メンフィス,曼非斯,멤피스,USS Memphis,轻巡,Light Cruiser,白鹰,Eagle Union,
102181,康克德,Concord,コンコード,康克德,콩코드,USS Concord,轻巡,Light Cruiser,白鹰,Eagle Union,
