source,target,tgt_lng,src_lng,name_code_id,kind,ship_type,ship_id,en,ja,zh_TW,wiki_note
峰风,樱,zh-CN,zh-CN,1,ship,,,,,,
吹雪,桐,zh-CN,zh-CN,2,ship,驱逐,301011,Fubuki,吹雪,吹雪,
Fubuki,桐,zh-CN,en,2,ship,驱逐,301011,Fubuki,吹雪,吹雪,
후부키,桐,zh-CN,ko,2,ship,驱逐,301011,Fubuki,吹雪,吹雪,
白雪,杉,zh-CN,zh-CN,3,ship,驱逐,301021,Shirayuki,白雪,白雪,
Shirayuki,杉,zh-CN,en,3,ship,驱逐,301021,Shirayuki,白雪,白雪,
시라유키,杉,zh-CN,ko,3,ship,驱逐,301021,Shirayuki,白雪,白雪,
初雪,杨,zh-CN,zh-CN,4,ship,,,,,,
深雪,梧,zh-CN,zh-CN,5,ship,驱逐,301041,Miyuki,深雪,深雪,
Miyuki,梧,zh-CN,en,5,ship,驱逐,301041,Miyuki,深雪,深雪,
미유키,梧,zh-CN,ko,5,ship,驱逐,301041,Miyuki,深雪,深雪,
绫波,柚,zh-CN,zh-CN,6,ship,驱逐,301051,Ayanami,綾波,綾波,
Ayanami,柚,zh-CN,en,6,ship,驱逐,301051,Ayanami,綾波,綾波,
綾波,柚,zh-CN,ja,6,ship,驱逐,301051,Ayanami,綾波,綾波,
綾波,柚,zh-CN,zh-TW,6,ship,驱逐,301051,Ayanami,綾波,綾波,
아야나미,柚,zh-CN,ko,6,ship,驱逐,301051,Ayanami,綾波,綾波,
敷波,柿,zh-CN,zh-CN,7,ship,,,,,,
曙,棪,zh-CN,zh-CN,8,ship,,,,,,
涟,槿,zh-CN,zh-CN,9,ship,,,,,,
潮,槟,zh-CN,zh-CN,10,ship,,,,,,
晓,枫,zh-CN,zh-CN,11,ship,驱逐,301091,Akatsuki,暁,曉,
Akatsuki,枫,zh-CN,en,11,ship,驱逐,301091,Akatsuki,暁,曉,
暁,枫,zh-CN,ja,11,ship,驱逐,301091,Akatsuki,暁,曉,
曉,枫,zh-CN,zh-TW,11,ship,驱逐,301091,Akatsuki,暁,曉,
아카츠키,枫,zh-CN,ko,11,ship,驱逐,301091,Akatsuki,暁,曉,
响,栀,zh-CN,zh-CN,12,ship,驱逐,301101,Hibiki,響,響,
Hibiki,栀,zh-CN,en,12,ship,驱逐,301101,Hibiki,響,響,
響,栀,zh-CN,ja,12,ship,驱逐,301101,Hibiki,響,響,
響,栀,zh-CN,zh-TW,12,ship,驱逐,301101,Hibiki,響,響,
히비키,栀,zh-CN,ko,12,ship,驱逐,301101,Hibiki,響,響,
雷,梓,zh-CN,zh-CN,13,ship,驱逐,301111,Ikazuchi,雷,雷,
Ikazuchi,梓,zh-CN,en,13,ship,驱逐,301111,Ikazuchi,雷,雷,
이카즈치,梓,zh-CN,ko,13,ship,驱逐,301111,Ikazuchi,雷,雷,
电,柏,zh-CN,zh-CN,14,ship,驱逐,301121,Inazuma,電,電,
Inazuma,柏,zh-CN,en,14,ship,驱逐,301121,Inazuma,電,電,
電,柏,zh-CN,ja,14,ship,驱逐,301121,Inazuma,電,電,
電,柏,zh-CN,zh-TW,14,ship,驱逐,301121,Inazuma,電,電,
이나즈마,柏,zh-CN,ko,14,ship,驱逐,301121,Inazuma,電,電,
白露,梿,zh-CN,zh-CN,15,ship,驱逐,301131,Shiratsuyu,白露,白露,
Shiratsuyu,梿,zh-CN,en,15,ship,驱逐,301131,Shiratsuyu,白露,白露,
시라츠유,梿,zh-CN,ko,15,ship,驱逐,301131,Shiratsuyu,白露,白露,
夕立,椿,zh-CN,zh-CN,16,ship,驱逐,301141,Yuudachi,夕立,夕立,
Yuudachi,椿,zh-CN,en,16,ship,驱逐,301141,Yuudachi,夕立,夕立,
유다치,椿,zh-CN,ko,16,ship,驱逐,301141,Yuudachi,夕立,夕立,
时雨,栴,zh-CN,zh-CN,17,ship,驱逐,301151,Shigure,時雨,時雨,
Shigure,栴,zh-CN,en,17,ship,驱逐,301151,Shigure,時雨,時雨,
時雨,栴,zh-CN,ja,17,ship,驱逐,301151,Shigure,時雨,時雨,
時雨,栴,zh-CN,zh-TW,17,ship,驱逐,301151,Shigure,時雨,時雨,
시구레,栴,zh-CN,ko,17,ship,驱逐,301151,Shigure,時雨,時雨,
岛风,芒,zh-CN,zh-CN,18,ship,驱逐,301291,Shimakaze,島風,島風,
Shimakaze,芒,zh-CN,en,18,ship,驱逐,301291,Shimakaze,島風,島風,
島風,芒,zh-CN,ja,18,ship,驱逐,301291,Shimakaze,島風,島風,
島風,芒,zh-CN,zh-TW,18,ship,驱逐,301291,Shimakaze,島風,島風,
시마카제,芒,zh-CN,ko,18,ship,驱逐,301291,Shimakaze,島風,島風,
阳炎,萩,zh-CN,zh-CN,19,ship,驱逐,301171,Kagerou,陽炎,陽炎,
Kagerou,萩,zh-CN,en,19,ship,驱逐,301171,Kagerou,陽炎,陽炎,
陽炎,萩,zh-CN,ja,19,ship,驱逐,301171,Kagerou,陽炎,陽炎,
陽炎,萩,zh-CN,zh-TW,19,ship,驱逐,301171,Kagerou,陽炎,陽炎,
카게로,萩,zh-CN,ko,19,ship,驱逐,301171,Kagerou,陽炎,陽炎,
不知火,蒲,zh-CN,zh-CN,20,ship,驱逐,301181,Shiranui,不知火,不知火,
Shiranui,蒲,zh-CN,en,20,ship,驱逐,301181,Shiranui,不知火,不知火,
시라누이,蒲,zh-CN,ko,20,ship,驱逐,301181,Shiranui,不知火,不知火,
黑潮,蓉,zh-CN,zh-CN,21,ship,驱逐,301271,Kuroshio,黒潮,黑潮,
Kuroshio,蓉,zh-CN,en,21,ship,驱逐,301271,Kuroshio,黒潮,黑潮,
黒潮,蓉,zh-CN,ja,21,ship,驱逐,301271,Kuroshio,黒潮,黑潮,
쿠로시오,蓉,zh-CN,ko,21,ship,驱逐,301271,Kuroshio,黒潮,黑潮,
雪风,莲,zh-CN,zh-CN,22,ship,驱逐,301161,Yukikaze,雪風,雪風,
Yukikaze,莲,zh-CN,en,22,ship,驱逐,301161,Yukikaze,雪風,雪風,
雪風,莲,zh-CN,ja,22,ship,驱逐,301161,Yukikaze,雪風,雪風,
雪風,莲,zh-CN,zh-TW,22,ship,驱逐,301161,Yukikaze,雪風,雪風,
유키카제,莲,zh-CN,ko,22,ship,驱逐,301161,Yukikaze,雪風,雪風,
天津风,菡,zh-CN,zh-CN,23,ship,,,,,,
野分,苓,zh-CN,zh-CN,24,ship,驱逐,301201,Nowaki,野分,野分,
Nowaki,苓,zh-CN,en,24,ship,驱逐,301201,Nowaki,野分,野分,
노와키,苓,zh-CN,ko,24,ship,驱逐,301201,Nowaki,野分,野分,
岚,萍,zh-CN,zh-CN,25,ship,,,,,,
秋月,椛,zh-CN,zh-CN,26,ship,,,,,,
凉月,栎,zh-CN,zh-CN,27,ship,驱逐,301841,Suzutsuki,涼月,涼月,
Suzutsuki,栎,zh-CN,en,27,ship,驱逐,301841,Suzutsuki,涼月,涼月,
涼月,栎,zh-CN,ja,27,ship,驱逐,301841,Suzutsuki,涼月,涼月,
涼月,栎,zh-CN,zh-TW,27,ship,驱逐,301841,Suzutsuki,涼月,涼月,
스즈츠키,栎,zh-CN,ko,27,ship,驱逐,301841,Suzutsuki,涼月,涼月,
宵月,楛,zh-CN,zh-CN,28,ship,驱逐,301581,Yoizuki,宵月,宵月,
Yoizuki,楛,zh-CN,en,28,ship,驱逐,301581,Yoizuki,宵月,宵月,
요이즈키,楛,zh-CN,ko,28,ship,驱逐,301581,Yoizuki,宵月,宵月,
花月,榵,zh-CN,zh-CN,29,ship,驱逐,301821,Hanazuki,花月,花月,
Hanazuki,榵,zh-CN,en,29,ship,驱逐,301821,Hanazuki,花月,花月,
하나즈키,榵,zh-CN,ko,29,ship,驱逐,301821,Hanazuki,花月,花月,
初春,梅,zh-CN,zh-CN,30,ship,驱逐,301211,Hatsuharu,初春,初春,
Hatsuharu,梅,zh-CN,en,30,ship,驱逐,301211,Hatsuharu,初春,初春,
하츠하루,梅,zh-CN,ko,30,ship,驱逐,301211,Hatsuharu,初春,初春,
有明,榎,zh-CN,zh-CN,31,ship,驱逐,301251,Ariake,有明,有明,
