source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,english_name,role
Algérie,阿尔及利亚,zh-CN,en,903021,重巡,维希教廷,,MNF Algérie,alternative
Algérie,阿尔及利亚-王国军方旗骑士,zh-CN,en,900419,重巡,通用,,MNF Algérie,dominant
Ayanami,绫波,zh-CN,en,301051,驱逐,重樱,,IJN Ayanami,dominant
Ayanami,绫波-传说级格斗家,zh-CN,en,900412,驱逐,通用,,IJN Ayanami,alternative
Enterprise,企业,zh-CN,en,107061,正航,白鹰,,USS Enterprise,dominant
Enterprise,进取,zh-CN,en,202321,轻巡,皇家,,HMS Enterprise,alternative
FFNF Jeanne d'Arc,圣女贞德,zh-CN,en,802021,轻巡,自由鸢尾,,FFNF Jeanne d'Arc,dominant
FFNF Jeanne d'Arc,圣女贞德-王国军圣女,zh-CN,en,900421,轻巡,通用,,FFNF Jeanne d'Arc,alternative
FFNF L'Opiniâtre,倔强,zh-CN,en,801041,驱逐,自由鸢尾,,FFNF L'Opiniâtre,dominant
FFNF L'Opiniâtre,倔强-王国军二级魔法师,zh-CN,en,900418,驱逐,通用,,FFNF L'Opiniâtre,alternative
FFNF Le Téméraire,鲁莽,zh-CN,en,801031,驱逐,自由鸢尾,,FFNF Le Téméraire,dominant
FFNF Le Téméraire,鲁莽(μ兵装),zh-CN,en,801091,驱逐,自由鸢尾,μ兵装,FFNF Le Téméraire,alternative
FFNF Le Téméraire,鲁莽-王国军二级魔法师,zh-CN,en,900417,驱逐,通用,,FFNF Le Téméraire,alternative
Friedrich Carl,腓特烈·卡尔,zh-CN,en,403141,重巡,铁血,,KMS Friedrich Carl,dominant
Friedrich Carl,腓特烈·卡尔-钢铁教会机械师,zh-CN,en,900427,正航,通用,,KMS Friedrich Carl,alternative
Fubuki,吹雪,zh-CN,en,301011,驱逐,重樱,,IJN Fubuki,alternative
Fubuki,雪不归,zh-CN,en,11000051,战列,联动阵营,,Fubuki,dominant
HMS Belfast,小贝法,zh-CN,en,202181,轻巡,皇家,,HMS Belfast,alternative
