source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,zh_CN_standard,zh_CN_target,same_source_alternatives
Abercrombie,阿贝克隆比,zh-CN,en,213041,重炮,皇家,,阿贝克隆比,阿贝克隆比,
Abukuma,貃,zh-CN,en,302091,轻巡,重樱,,阿武隈,貃,
Acasta,阿卡司塔,zh-CN,en,201021,驱逐,皇家,,阿卡司塔,阿卡司塔,
Achilles,阿基里斯,zh-CN,en,202021,轻巡,皇家,,阿基里斯,阿基里斯,
Admiral Graf Spee,休贝塔伯爵,zh-CN,en,403051,重巡,铁血,,斯佩伯爵海军上将,休贝塔伯爵,
Admiral Hipper,芙兰希卡,zh-CN,en,403011,重巡,铁血,,希佩尔海军上将,芙兰希卡,
Admiral Hipper META,芙兰希卡·META,zh-CN,en,9703051,重巡,META,META,希佩尔海军上将·META,芙兰希卡·META,
Admiral Hipper μ,芙兰希卡(μ兵装),zh-CN,en,403071,重巡,铁血,μ兵装,希佩尔海军上将(μ兵装),芙兰希卡(μ兵装),
Admiral Hipper.META,芙兰希卡·META,zh-CN,en,9703051,重巡,META,META,希佩尔海军上将·META,芙兰希卡·META,
Admiral Nakhimov,纳希莫夫海军上将,zh-CN,en,799021,正航,北方联合,,纳希莫夫海军上将,纳希莫夫海军上将,
Admiral Zenker,泽特,zh-CN,en,404071,战巡,铁血,,曾克海军上将,泽特,
Adventure,冒险号,zh-CN,en,9600161,风帆,飓风船团,,冒险号,冒险号,
Adventure Galley,加里冒险号,zh-CN,en,900465,风帆,飓风船团,,加里冒险号,加里冒险号,
Agano,豼,zh-CN,en,302201,轻巡,重樱,,阿贺野,豼,
Ajax,阿贾克斯,zh-CN,en,202031,轻巡,皇家,,阿贾克斯,阿贾克斯,
Akagi,凰,zh-CN,en,307011,正航,重樱,,赤城,凰,
Akagi μ,凰(μ兵装),zh-CN,en,307101,正航,重樱,μ兵装,赤城(μ兵装),凰(μ兵装),
Akagi-chan,小凰,zh-CN,en,307091,正航,重樱,,小赤城,小凰,
Akane Shinjo,新条茜,zh-CN,en,10800021,战列,联动阵营,,新条茜,新条茜,
Akashi,茗,zh-CN,en,312011,维修,重樱,,明石,茗,
Akatsuki,枫,zh-CN,en,301091,驱逐,重樱,,晓,枫,
Alabama,阿拉巴马,zh-CN,en,105201,战列,白鹰,,阿拉巴马,阿拉巴马,
Albacore,大青花鱼,zh-CN,en,108021,潜艇,白鹰,,大青花鱼,大青花鱼,
Albacore μ,大青花鱼(μ兵装),zh-CN,en,108051,潜艇,白鹰,μ兵装,大青花鱼(μ兵装),大青花鱼(μ兵装),
Alberto di Giussano,阿尔贝托·迪·朱塞诺,zh-CN,en,602041,轻巡,撒丁帝国,,阿尔贝托·迪·朱塞诺,阿尔贝托·迪·朱塞诺,
Albion,阿尔比恩,zh-CN,en,206071,轻航,皇家,,阿尔比恩,阿尔比恩,
Alfredo Oriani,阿尔弗雷多·奥里亚尼,zh-CN,en,601081,驱逐,撒丁帝国,,阿尔弗雷多·奥里亚尼,阿尔弗雷多·奥里亚尼,
Algérie,阿尔及利亚,zh-CN,en,903021,重巡,维希教廷,,阿尔及利亚,阿尔及利亚,阿尔及利亚-王国军方旗骑士 [通用 重巡] | 阿尔及利亚 [维希教廷 重巡]
Algérie,阿尔及利亚-王国军方旗骑士,zh-CN,en,900419,重巡,通用,,阿尔及利亚-王国军方旗骑士,阿尔及利亚-王国军方旗骑士,阿尔及利亚-王国军方旗骑士 [通用 重巡] | 阿尔及利亚 [维希教廷 重巡]
Algérie META,阿尔及利亚·META,zh-CN,en,9703021,重巡,META,META,阿尔及利亚·META,阿尔及利亚·META,
Algérie.META,阿尔及利亚·META,zh-CN,en,9703021,重巡,META,META,阿尔及利亚·META,阿尔及利亚·META,
Allen M. Sumner,艾伦·萨姆纳,zh-CN,en,101451,驱逐,白鹰,,艾伦·萨姆纳,艾伦·萨姆纳,
Alsace,阿尔萨斯,zh-CN,en,805031,战列,自由鸢尾,,阿尔萨斯,阿尔萨斯,
Alvitr,亚尔薇特,zh-CN,en,404061,战巡,铁血,,亚尔薇特,亚尔薇特,
Amagi,鳐,zh-CN,en,304051,战巡,重樱,,天城,鳐,
Amagi(CV),鳐,zh-CN,en,307151,正航,重樱,,天城,鳐,
Amagi-chan,小鳐,zh-CN,en,304071,战巡,重樱,,小天城,小鳐,
Amazon,女将,zh-CN,en,201011,驱逐,皇家,,女将,女将,
Ami Futami,双海亚美,zh-CN,en,10700061,潜艇,联动阵营,,双海亚美,双海亚美,
Amity,和睦号,zh-CN,en,900523,风帆,飓风船团,,和睦号,和睦号,
An Shan,鞍山,zh-CN,en,501011,驱逐,东煌,,鞍山,鞍山,
Anchorage,安克雷奇,zh-CN,en,199031,重巡,白鹰,,安克雷奇,安克雷奇,
Andrea Doria,安德烈亚·多利亚,zh-CN,en,605071,战列,撒丁帝国,,安德烈亚·多利亚,安德烈亚·多利亚,
Andrea Doria META,安德烈亚·多利亚·META,zh-CN,en,900492,战列,META,META,安德烈亚·多利亚·META,安德烈亚·多利亚·META,
Andrea Doria.META,安德烈亚·多利亚·META,zh-CN,en,900492,战列,META,META,安德烈亚·多利亚·META,安德烈亚·多利亚·META,
Anniversary Kizuna AI,绊爱·Anniversary,zh-CN,en,10400031,正航,联动阵营,,绊爱·Anniversary,绊爱·Anniversary,
Aoba,犹,zh-CN,en,303031,重巡,重樱,,青叶,犹,
Aquila,天鹰,zh-CN,en,607011,正航,撒丁帝国,,天鹰,天鹰,
Arashio,栘,zh-CN,en,301661,驱逐,重樱,,荒潮,栘,
Archerfish,喷水鱼,zh-CN,en,108061,潜艇,白鹰,,射水鱼,喷水鱼,
Ardent,热心,zh-CN,en,201031,驱逐,皇家,,热心,热心,
Arethusa,阿瑞托莎,zh-CN,en,202131,轻巡,皇家,,阿瑞托莎,阿瑞托莎,
Argus,百眼巨人,zh-CN,en,206021,轻航,皇家,,百眼巨人,百眼巨人,
Ariake,榎,zh-CN,en,301251,驱逐,重樱,,有明,榎,
Arizona,亚利桑那,zh-CN,en,105041,战列,白鹰,,亚利桑那,亚利桑那,
Arizona META,亚利桑那·META,zh-CN,en,9705031,战列,META,META,亚利桑那·META,亚利桑那·META,
Arizona.META,亚利桑那·META,zh-CN,en,9705031,战列,META,META,亚利桑那·META,亚利桑那·META,
Ark Royal,皇家方舟,zh-CN,en,207021,正航,皇家,,皇家方舟,皇家方舟,
Ark Royal.META,皇家方舟·META,zh-CN,en,900334,正航,META,META,皇家方舟·META,皇家方舟·META,
Arkhangelsk,阿尔汉格尔斯克,zh-CN,en,705061,战列,北方联合,,阿尔汉格尔斯克,阿尔汉格尔斯克,
Asama,猏,zh-CN,en,303201,重巡,重樱,,浅间,猏,
Asanagi,桎,zh-CN,en,301901,驱逐,重樱,,朝凪,桎,
Asashio,棹,zh-CN,en,301631,驱逐,重樱,,朝潮,棹,
Ashigara,狳,zh-CN,en,303091,重巡,重樱,,足柄,狳,
Astoria,阿斯托利亚,zh-CN,en,103081,重巡,白鹰,,阿斯托利亚,阿斯托利亚,
Asuka,飞鸟,zh-CN,en,11000011,轻巡,联动阵营,,飞鸟,飞鸟,
Atago,犬,zh-CN,en,303121,重巡,重樱,,爱宕,犬,
Atlanta,亚特兰大,zh-CN,en,102061,轻巡,白鹰,,亚特兰大,亚特兰大,
Attilio Regolo,阿蒂利奥·雷戈洛,zh-CN,en,601101,驱逐,撒丁帝国,,阿蒂利奥·雷戈洛,阿蒂利奥·雷戈洛,
August von Parseval,奥斯特雷德·冯·帕赫贝尔,zh-CN,en,499061,正航,铁血,,奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔,
Aulick,奥利克,zh-CN,en,101131,驱逐,白鹰,,奥利克,奥利克,
Aurora,欧若拉,zh-CN,en,202151,轻巡,皇家,,欧若拉,欧若拉,
Avrora,阿芙乐尔,zh-CN,en,702011,轻巡,北方联合,,阿芙乐尔,阿芙乐尔,
Ayanami,柚,zh-CN,en,301051,驱逐,重樱,,绫波,柚,柚 [重樱 驱逐] | 绫波-传说级格斗家 [通用 驱逐]
Ayanami,绫波-传说级格斗家,zh-CN,en,900412,驱逐,通用,,绫波-传说级格斗家,绫波-传说级格斗家,柚 [重樱 驱逐] | 绫波-传说级格斗家 [通用 驱逐]
Ayase,狑,zh-CN,en,302261,轻巡,重樱,,绫濑,狑,
Aylwin,艾尔温,zh-CN,en,101401,驱逐,白鹰,,艾尔温,艾尔温,
Azuma,猉,zh-CN,en,399041,超巡,重樱,,吾妻,猉,
Azusa Miura,三浦 梓,zh-CN,en,10700041,重巡,联动阵营,,三浦 梓,三浦 梓,
Bache,贝奇,zh-CN,en,101351,驱逐,白鹰,,贝奇,贝奇,
Bailey,贝利,zh-CN,en,101271,驱逐,白鹰,,贝利,贝利,
Baltimore,巴尔的摩,zh-CN,en,103161,重巡,白鹰,,巴尔的摩,巴尔的摩,
Baltimore μ,巴尔的摩(μ兵装),zh-CN,en,103251,重巡,白鹰,μ兵装,巴尔的摩(μ兵装),巴尔的摩(μ兵装),
Bartolomeo Colleoni,巴托洛梅奥·科莱奥尼,zh-CN,en,602031,轻巡,撒丁帝国,,巴托洛梅奥·科莱奥尼,巴托洛梅奥·科莱奥尼,
Bataan,巴丹,zh-CN,en,107291,轻航,白鹰,,巴丹,巴丹,
Bayard,贝亚德,zh-CN,en,899041,轻巡,自由鸢尾,,贝亚德,贝亚德,
Beagle,小猎兔犬,zh-CN,en,201061,驱逐,皇家,,小猎兔犬,小猎兔犬,
Belfast,贝尔法斯特,zh-CN,en,202121,轻巡,皇家,,贝尔法斯特,贝尔法斯特,
Bell,贝尔,zh-CN,en,101521,驱逐,白鹰,,贝尔,贝尔,
Bellona,司战女神,zh-CN,en,202311,轻巡,皇家,,司战女神,司战女神,
Benson,本森,zh-CN,en,101161,驱逐,白鹰,,本森,本森,
Biloxi,比洛克西,zh-CN,en,102251,轻巡,白鹰,,比洛克西,比洛克西,
Birmingham,伯明翰,zh-CN,en,102231,轻巡,白鹰,,伯明翰,伯明翰,
Bismarck,奥德莉亚,zh-CN,en,405011,战列,铁血,,俾斯麦,奥德莉亚,
Bismarck Zwei,奥德莉亚Zwei,zh-CN,en,405051,战列,铁血,,俾斯麦Zwei,奥德莉亚Zwei,
Black Heart,圣黑之心,zh-CN,en,10100061,重巡,联动阵营,,圣黑之心,圣黑之心,
Black Prince,黑太子,zh-CN,en,202241,轻巡,皇家,,黑太子,黑太子,
BLACK★ROCK SHOOTER,BLACK★ROCK SHOOTER（后排）,zh-CN,en,900509,战巡,联动阵营,,BLACK★ROCK SHOOTER（后排）,BLACK★ROCK SHOOTER（后排）,
Blanc,布兰,zh-CN,en,900076,驱逐,联动阵营,,布兰,布兰,
Bluegill,蓝鳃鱼,zh-CN,en,108041,潜艇,白鹰,,蓝鳃鱼,蓝鳃鱼,
Blücher,布丽吉特,zh-CN,en,403021,重巡,铁血,,布吕歇尔,布丽吉特,
Bogatyr,博加特里,zh-CN,en,702101,轻巡,北方联合,,博加特里,博加特里,
Bogue,博格,zh-CN,en,106021,轻航,白鹰,,博格,博格,
Bois Belleau,贝劳森林,zh-CN,en,806011,轻航,自由鸢尾,,贝劳森林,贝劳森林,
Boise,树城,zh-CN,en,102291,轻巡,白鹰,,博伊西,树城,
Boise META,树城·META,zh-CN,en,9702081,轻巡,META,META,博伊西·META,树城·META,
Boise μ,树城(μ兵装),zh-CN,en,102321,轻巡,白鹰,μ兵装,博伊西(μ兵装),树城(μ兵装),
Boise.META,树城·META,zh-CN,en,9702081,轻巡,META,META,博伊西·META,树城·META,
Bolzano,博尔扎诺,zh-CN,en,603051,重巡,撒丁帝国,,博尔扎诺,博尔扎诺,
Bolzano META,博尔扎诺·META,zh-CN,en,900489,重巡,META,META,博尔扎诺·META,博尔扎诺·META,
Bolzano.META,博尔扎诺·META,zh-CN,en,900489,重巡,META,META,博尔扎诺·META,博尔扎诺·META,
Bremerton,布莱默顿,zh-CN,en,103241,重巡,白鹰,,布莱默顿,布莱默顿,
Brennus,布伦努斯,zh-CN,en,803021,重巡,自由鸢尾,,布伦努斯,布伦努斯,
Brest,布雷斯特,zh-CN,en,899031,超巡,自由鸢尾,,布雷斯特,布雷斯特,
Bristol,布里斯托尔,zh-CN,en,101491,驱逐,白鹰,,布里斯托尔,布里斯托尔,
Brooklyn,布鲁克林,zh-CN,en,102031,轻巡,白鹰,,布鲁克林,布鲁克林,
Brünhilde,贝尔莎,zh-CN,en,404051,战巡,铁血,,布伦希尔德,贝尔莎,
Bulldog,大斗犬,zh-CN,en,201071,驱逐,皇家,,大斗犬,大斗犬,
