source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant
Abercrombie,阿贝克隆比,zh-CN,en,213041,重炮,皇家,
Abukuma,阿武隈,zh-CN,en,302091,轻巡,重樱,
Acasta,阿卡司塔,zh-CN,en,201021,驱逐,皇家,
Achilles,阿基里斯,zh-CN,en,202021,轻巡,皇家,
Admiral Graf Spee,斯佩伯爵海军上将,zh-CN,en,403051,重巡,铁血,
Admiral Hipper,希佩尔海军上将,zh-CN,en,403011,重巡,铁血,
Admiral Hipper META,希佩尔海军上将·META,zh-CN,en,9703051,重巡,META,META
Admiral Hipper μ,希佩尔海军上将(μ兵装),zh-CN,en,403071,重巡,铁血,μ兵装
Admiral Hipper.META,希佩尔海军上将·META,zh-CN,en,9703051,重巡,META,META
Admiral Nakhimov,纳希莫夫海军上将,zh-CN,en,799021,正航,北方联合,
Admiral Zenker,曾克海军上将,zh-CN,en,404071,战巡,铁血,
Adventure,冒险号,zh-CN,en,9600161,风帆,飓风船团,
Adventure Galley,加里冒险号,zh-CN,en,900465,风帆,飓风船团,
Agano,阿贺野,zh-CN,en,302201,轻巡,重樱,
Ajax,阿贾克斯,zh-CN,en,202031,轻巡,皇家,
Akagi,赤城,zh-CN,en,307011,正航,重樱,
Akagi μ,赤城(μ兵装),zh-CN,en,307101,正航,重樱,μ兵装
Akagi-chan,小赤城,zh-CN,en,307091,正航,重樱,
Akane Shinjo,新条茜,zh-CN,en,10800021,战列,联动阵营,
Akashi,明石,zh-CN,en,312011,维修,重樱,
Akatsuki,晓,zh-CN,en,301091,驱逐,重樱,
Alabama,阿拉巴马,zh-CN,en,105201,战列,白鹰,
Albacore,大青花鱼,zh-CN,en,108021,潜艇,白鹰,
Albacore μ,大青花鱼(μ兵装),zh-CN,en,108051,潜艇,白鹰,μ兵装
Alberto di Giussano,阿尔贝托·迪·朱塞诺,zh-CN,en,602041,轻巡,撒丁帝国,
Albion,阿尔比恩,zh-CN,en,206071,轻航,皇家,
Alfredo Oriani,阿尔弗雷多·奥里亚尼,zh-CN,en,601081,驱逐,撒丁帝国,
Algérie,阿尔及利亚-王国军方旗骑士,zh-CN,en,900419,重巡,通用,
Algérie META,阿尔及利亚·META,zh-CN,en,9703021,重巡,META,META
Algérie.META,阿尔及利亚·META,zh-CN,en,9703021,重巡,META,META
Allen M. Sumner,艾伦·萨姆纳,zh-CN,en,101451,驱逐,白鹰,
Alsace,阿尔萨斯,zh-CN,en,805031,战列,自由鸢尾,
Alvitr,亚尔薇特,zh-CN,en,404061,战巡,铁血,
Amagi,天城,zh-CN,en,304051,战巡,重樱,
Amagi(CV),天城,zh-CN,en,307151,正航,重樱,
Amagi-chan,小天城,zh-CN,en,304071,战巡,重樱,
Amazon,女将,zh-CN,en,201011,驱逐,皇家,
Ami Futami,双海亚美,zh-CN,en,10700061,潜艇,联动阵营,
Amity,和睦号,zh-CN,en,900523,风帆,飓风船团,
An Shan,鞍山,zh-CN,en,501011,驱逐,东煌,
Anchorage,安克雷奇,zh-CN,en,199031,重巡,白鹰,
Andrea Doria,安德烈亚·多利亚,zh-CN,en,605071,战列,撒丁帝国,
Andrea Doria META,安德烈亚·多利亚·META,zh-CN,en,900492,战列,META,META
Andrea Doria.META,安德烈亚·多利亚·META,zh-CN,en,900492,战列,META,META
Anniversary Kizuna AI,绊爱·Anniversary,zh-CN,en,10400031,正航,联动阵营,
Aoba,青叶,zh-CN,en,303031,重巡,重樱,
Aquila,天鹰,zh-CN,en,607011,正航,撒丁帝国,
Arashio,荒潮,zh-CN,en,301661,驱逐,重樱,
Archerfish,射水鱼,zh-CN,en,108061,潜艇,白鹰,
