source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
Abercrombie,アバークロンビー,ja-JP,en-US,213041,重炮,Monitor,皇家,Royal Navy,,,阿贝克隆比,,
Abukuma,阿武隈,ja-JP,en-US,302091,轻巡,Light Cruiser,重樱,Sakura Empire,,,阿武隈,貃,
Acasta,アカスタ,ja-JP,en-US,201021,驱逐,Destroyer,皇家,Royal Navy,,,阿卡司塔,,
Achilles,アキリーズ,ja-JP,en-US,202021,轻巡,Light Cruiser,皇家,Royal Navy,,,阿基里斯,,
Admiral Graf Spee,アドミラル・グラーフ・シュペー,ja-JP,en-US,403051,重巡,Heavy Cruiser,铁血,Iron Blood,,,斯佩伯爵海军上将,休贝塔伯爵,
Admiral Hipper,アドミラル・ヒッパー,ja-JP,en-US,403011,重巡,Heavy Cruiser,铁血,Iron Blood,,,希佩尔海军上将,芙兰希卡,
Admiral Hipper META,アドミラル・ヒッパー(META),ja-JP,en-US,9703051,重巡,Heavy Cruiser,META,META,META,,希佩尔海军上将·META,芙兰希卡·META,
Admiral Hipper μ,アドミラル·ヒッパー(μ兵装),ja-JP,en-US,403071,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,希佩尔海军上将(μ兵装),芙兰希卡(μ兵装),
Admiral Hipper.META,アドミラル・ヒッパー(META),ja-JP,en-US,9703051,重巡,Heavy Cruiser,META,META,META,,希佩尔海军上将·META,芙兰希卡·META,
Admiral Nakhimov,アドミラル・ナヒーモフ,ja-JP,en-US,799021,正航,Aircraft Carrier,北方联合,Northern Parliament,,,纳希莫夫海军上将,,
Admiral Zenker,アドミラル・ツェンカー,ja-JP,en-US,404071,战巡,Battlecruiser,铁血,Iron Blood,,,曾克海军上将,泽特,
Adventure,アドベンチャー,ja-JP,en-US,9600161,风帆,Sailing Frigate,飓风船团,Tempesta,,,冒险号,,
Adventure Galley,アドヴェンチャー・ギャレー,ja-JP,en-US,900465,风帆,Sailing Frigate,飓风船团,Tempesta,,,加里冒险号,,
Agano,阿賀野,ja-JP,en-US,302201,轻巡,Light Cruiser,重樱,Sakura Empire,,,阿贺野,豼,
Ajax,エイジャックス,ja-JP,en-US,202031,轻巡,Light Cruiser,皇家,Royal Navy,,,阿贾克斯,,
Akagi,赤城,ja-JP,en-US,307011,正航,Aircraft Carrier,重樱,Sakura Empire,,,赤城,凰,
Akagi μ,赤城(μ兵装),ja-JP,en-US,307101,正航,Aircraft Carrier,重樱,Sakura Empire,μ兵装,,赤城(μ兵装),凰(μ兵装),
Akagi-chan,赤城ちゃん,ja-JP,en-US,307091,正航,Aircraft Carrier,重樱,Sakura Empire,,,小赤城,小凰,
Akane Shinjo,新条アカネ,ja-JP,en-US,10800021,战列,Battleship,联动阵营,Collab,,,新条茜,,
Akashi,明石,ja-JP,en-US,312011,维修,Repair,重樱,Sakura Empire,,,明石,茗,
