category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
01_character,角色名称,Student.10000,爱露,アル,亞瑠,Aru,아루,อารุ,students.json
01_character,角色名称,Student.10001,艾米,エイミ,英美,Eimi,에이미,เอมิ,students.json
01_character,角色名称,Student.10002,晴奈,ハルナ,羽留奈,Haruna,하루나,ฮารุนะ,students.json
01_character,角色名称,Student.10003,日富美,ヒフミ,日步美,Hifumi,히후미,ฮิฟุมิ,students.json
01_character,角色名称,Student.10004,日奈,ヒナ,陽奈,Hina,히나,ฮินะ,students.json
01_character,角色名称,Student.10005,星野,ホシノ,星野,Hoshino,호시노,โฮชิโนะ,students.json
01_character,角色名称,Student.10006,伊织,イオリ,伊織,Iori,이오리,อิโอริ,students.json
01_character,角色名称,Student.10007,真纪,マキ,真紀,Maki,마키,มากิ,students.json
01_character,角色名称,Student.10008,妮露,ネル,寧瑠,Neru,네루,เนรุ,students.json
01_character,角色名称,Student.10009,泉,イズミ,泉,Izumi,이즈미,อิซุมิ,students.json
01_character,角色名称,Student.10010,白子,シロコ,白子,Shiroko,시로코,ชิโรโกะ,students.json
01_character,角色名称,Student.10011,瞬,シュン,旬,Shun,슌,ชุน,students.json
01_character,角色名称,Student.10012,堇,スミレ,堇,Sumire,스미레,สึมิเระ,students.json
01_character,角色名称,Student.10013,鹤城,ツルギ,弦生,Tsurugi,츠루기,ซึรุกิ,students.json
01_character,角色名称,Student.10014,泉奈,イズナ,伊樹菜,Izuna,이즈나,อิซุนะ,students.json
01_character,角色名称,Student.10015,爱丽丝,アリス,愛麗絲,Aris,아리스,อาริสึ,students.json
01_character,角色名称,Student.10016,绿,ミドリ,綠,Midori,미도리,มิโดริ,students.json
01_character,角色名称,Student.10017,切里诺,チェリノ,潔莉諾,Cherino,체리노,เชริโน่,students.json
01_character,角色名称,Student.10018,柚子,ユズ,柚子,Yuzu,유즈,ยูสึ,students.json
01_character,角色名称,Student.10019,梓,アズサ,梓,Azusa,아즈사,อาซึสะ,students.json
01_character,角色名称,Student.10020,小春,コハル,小春,Koharu,코하루,โคฮารุ,students.json
01_character,角色名称,Student.10021,梓（泳装）,アズサ（水着）,梓(泳裝),Azusa (Swimsuit),아즈사(수영복),อาซึสะ (ชุดว่ายน้ำ),students.json
01_character,角色名称,Student.10022,日奈（泳装）,ヒナ（水着）,陽奈(泳裝),Hina (Swimsuit),히나(수영복),ฮินะ (ชุดว่ายน้ำ),students.json
01_character,角色名称,Student.10023,伊织（泳装）,イオリ（水着）,伊織(泳裝),Iori (Swimsuit),이오리(수영복),อิโอริ (ชุดว่ายน้ำ),students.json
01_character,角色名称,Student.10024,白子（骑行）,シロコ（ライディング）,白子(單車),Shiroko (Cycling),시로코(라이딩),ชิโรโกะ (นักปั่น),students.json
01_character,角色名称,Student.10025,瞬（小）,シュン（幼女）,旬(幼女),Shun (Small),슌(어린이),ชุน (วัยเด็ก),students.json
01_character,角色名称,Student.10026,妮露（邦妮）,ネル（バニーガール）,寧瑠(兔女郎),Neru (Bunny),네루(바니걸),เนรุ (บันนี่เกิร์ล),students.json
01_character,角色名称,Student.10027,花凛（邦妮）,カリン（バニーガール）,花凛(兔女郎),Karin (Bunny),카린(바니걸),คาริน (บันนี่เกิร์ล),students.json
01_character,角色名称,Student.10028,明日奈（邦妮）,アスナ（バニーガール）,明日奈(兔女郎),Asuna (Bunny),아스나(바니걸),อาสึนะ (บันนี่เกิร์ล),students.json
01_character,角色名称,Student.10029,夏,ナツ,夏,Natsu,나츠,นัตสึ,students.json
01_character,角色名称,Student.10030,千夏（温泉）,チナツ（温泉）,千夏(溫泉),Chinatsu (Hot Spring),치나츠(온천),ชินัตสึ (ออนเซ็น),students.json
01_character,角色名称,Student.10031,爱露（新年）,アル（正月）,亞瑠(正月),Aru (New Year),아루(새해),อารุ (ปีใหม่),students.json
01_character,角色名称,Student.10032,睦月（新年）,ムツキ（正月）,無月(正月),Mutsuki (New Year),무츠키(새해),มุสึกิ (ปีใหม่),students.json
01_character,角色名称,Student.10033,若藻,ワカモ,若藻,Wakamo,와카모,วาคาโมะ,students.json
01_character,角色名称,Student.10034,三森,ミモリ,三森,Mimori,미모리,มิโมริ,students.json
01_character,角色名称,Student.10035,忧,ウイ,憂,Ui,우이,อุย,students.json
01_character,角色名称,Student.10036,日向,ヒナタ,日向,Hinata,히나타,ฮินาตะ,students.json
01_character,角色名称,Student.10037,真里奈,マリナ,瑪麗娜,Marina,마리나,มารินะ,students.json
