category,source,target,tgt_lng
01_character,灵魂伴侣,영혼단짝,ko-KR
01_character,Soulmate,영혼단짝,ko-KR
01_character,魂の伴侶,영혼단짝,ko-KR
01_character,靈魂伴侶,영혼단짝,ko-KR
01_character,珀尔娜&维嘉尔,베르너&베르주,ko-KR
01_character,Bernina & Virigia,베르너&베르주,ko-KR
01_character,ヴェルナー&ヴェルジュ,베르너&베르주,ko-KR
01_character,珀爾娜&維嘉爾,베르너&베르주,ko-KR
01_character,情人节雾语,발렌타인 미스티,ko-KR
01_character,Valentine's Day Mistique,발렌타인 미스티,ko-KR
01_character,ミスティ,발렌타인 미스티,ko-KR
01_character,情人節霧語,발렌타인 미스티,ko-KR
01_character,薇洛,윌로,ko-KR
01_character,Willow,윌로,ko-KR
01_character,ウィロー,윌로,ko-KR
01_character,布洛克,블롯치,ko-KR
01_character,Bloc,블롯치,ko-KR
01_character,ブロッチ,블롯치,ko-KR
01_character,布洛可,블롯치,ko-KR
01_character,彼岸,카나타,ko-KR
01_character,Horizon,카나타,ko-KR
01_character,カナタ,카나타,ko-KR
01_character,伊织,이오리,ko-KR
01_character,Iori,이오리,ko-KR
01_character,イオリ,이오리,ko-KR
01_character,伊織,이오리,ko-KR
01_character,琥珀,코하쿠,ko-KR
01_character,Amber,코하쿠,ko-KR
01_character,コハク,코하쿠,ko-KR
01_character,缇莉娅,틸리아,ko-KR
01_character,Tilia,틸리아,ko-KR
01_character,ティリア,틸리아,ko-KR
01_character,緹莉婭,틸리아,ko-KR
01_character,卡西米拉,카시미라,ko-KR
01_character,Kasimira,카시미라,ko-KR
01_character,カシミラ,카시미라,ko-KR
01_character,翡冷翠,피렌,ko-KR
01_character,Firenze,피렌,ko-KR
01_character,フィレン,피렌,ko-KR
01_character,鸢尾,아야메,ko-KR
01_character,Iris,아야메,ko-KR
01_character,アヤメ,아야메,ko-KR
01_character,鳶尾,아야메,ko-KR
01_character,尘沙,세이나,ko-KR
01_character,Noya,세이나,ko-KR
01_character,セイナ,세이나,ko-KR
01_character,塵沙,세이나,ko-KR
01_character,师渺,시먀오,ko-KR
01_character,Shimiao,시먀오,ko-KR
01_character,シーミャオ,시먀오,ko-KR
01_character,師渺,시먀오,ko-KR
01_character,猫眼,샤통,ko-KR
01_character,Chaton,샤통,ko-KR
01_character,シャトン,샤통,ko-KR
01_character,貓眼,샤통,ko-KR
01_character,火垂,호타루,ko-KR
01_character,Firefly,호타루,ko-KR
01_character,ホタル,호타루,ko-KR
01_character,岭川,레이센,ko-KR
01_character,Ridge,레이센,ko-KR
01_character,レイセン,레이센,ko-KR
01_character,嶺川,레이센,ko-KR
01_character,璟麟,징린,ko-KR
01_character,Jinglin,징린,ko-KR
01_character,ジンリン,징린,ko-KR
01_character,科洛妮丝,크루니스,ko-KR
01_character,Coronis,크루니스,ko-KR
01_character,クルニス,크루니스,ko-KR
01_character,柯洛妮絲,크루니스,ko-KR
01_character,花原,나노하,ko-KR
01_character,Nanoha,나노하,ko-KR
01_character,ナノハ,나노하,ko-KR
01_character,卡娜丝,카나체,ko-KR
01_character,Canace,카나체,ko-KR
01_character,カナーチェ,카나체,ko-KR
01_character,卡娜絲,카나체,ko-KR
01_character,杏子,안즈,ko-KR
01_character,Ann,안즈,ko-KR
01_character,アンズ,안즈,ko-KR
01_character,苍兰,프리지아,ko-KR
01_character,Freesia,프리지아,ko-KR
01_character,フリージア,프리지아,ko-KR
01_character,蒼蘭,프리지아,ko-KR
01_character,紫槿,플로라,ko-KR
01_character,Flora,플로라,ko-KR
01_character,フローラ,플로라,ko-KR
01_character,特丽莎,테레사,ko-KR
01_character,Teresa,테레사,ko-KR
01_character,テレサ,테레사,ko-KR
01_character,特麗莎,테레사,ko-KR
01_character,多娜,토나,ko-KR
01_character,Donna,토나,ko-KR
01_character,トーナ,토나,ko-KR
01_character,密涅瓦,미네르바,ko-KR
01_character,Minova,미네르바,ko-KR
01_character,ミネルバ,미네르바,ko-KR
01_character,夏花,나츠카,ko-KR
01_character,Nazuka,나츠카,ko-KR
01_character,ナツカ,나츠카,ko-KR
01_character,冬香,후유카,ko-KR
01_character,Fuyuka,후유카,ko-KR
01_character,フユカ,후유카,ko-KR
01_character,雾语,미스티,ko-KR
01_character,Mistique,미스티,ko-KR
01_character,ミスティ,미스티,ko-KR
01_character,霧語,미스티,ko-KR
01_character,埃莉诺,엘레노어,ko-KR
01_character,Eleanor,엘레노어,ko-KR
01_character,エレノア,엘레노어,ko-KR
01_character,埃莉諾,엘레노어,ko-KR
01_character,斯帕克拉,스파클,ko-KR
01_character,Sparkla,스파클,ko-KR
01_character,スパクル,스파클,ko-KR
01_character,赤霞,치시아,ko-KR
01_character,Chixia,치시아,ko-KR
01_character,チーシア,치시아,ko-KR
01_character,珂赛特,코제트,ko-KR
01_character,Cosette,코제트,ko-KR
01_character,コゼット,코제트,ko-KR
01_character,珂賽特,코제트,ko-KR
01_character,风影,레이스,ko-KR
01_character,Wraith,레이스,ko-KR
01_character,レイス,레이스,ko-KR
01_character,風影,레이스,ko-KR
01_character,千都世,치토세,ko-KR
01_character,Chitose,치토세,ko-KR
01_character,チトセ,치토세,ko-KR
01_character,乙叶,오토하,ko-KR
01_character,Otoha,오토하,ko-KR
01_character,オトハ,오토하,ko-KR
01_character,乙葉,오토하,ko-KR
01_character,焦糖,캐러멜,ko-KR
01_character,Caramel,캐러멜,ko-KR
01_character,キャラメル,캐러멜,ko-KR
01_character,格芮,그레이,ko-KR
