category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
15_stage,关卡,Stage.Campaign.1011101,青叶中心区35番街,アオバ中心区35番街,青葉中心區35號街,Aoba Central Building 35,아오바 중심구 35번지,เขตศูนย์กลาง อาโอบะ เลขที่ 35,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1011102,D.U.西部公园,D.U.ウェストパーク,D.U.西公園,D.U. West Park,D.U. 웨스트 파크,D.U. เวสต์ พาร์ก,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1011103,黑猫市场,クロネコ市場,黑貓市場,Kuro Neko Market,쿠로네코 시장,ตลาดคุโระเนโกะ,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1011104,中央区1番街,中央区1番街,中央區1號街,Hub Building 1,중앙구 1번지,เขตศูนย์กลาง เลขที่ 1,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1011105,D.U.577区域,D.U.577区域,D.U.577區域,D.U. Zone 577,D.U. 577구역,พื้นที่ D.U. 577,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1012101,青叶中心区99番街,アオバ中心区99番街,青葉中心區99號街,Aoba Central Building 99,아오바 중심구 99번지,เขตศูนย์กลาง อาโอบะ เลขที่ 99,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1012102,D.U.西部公园中心,D.U.ウェストパーク中心部,D.U.西公園中心部,D.U. West Central Park Area,D.U. 웨스트 파크 중심부,ใจกลาง D.U. เวสต์ พาร์ก,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1012103,黑猫市场外围,クロネコ市場外郭,黑貓市場外圍,Kuro Neko Market Outskirts,쿠로네코 시장 외곽,ด้านนอกตลาดคุโระเนโกะ,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1021101,双叶公园,双葉公園,双葉公園,Futaba Park,후타바 공원,ฟุตาบะ การ์เด้น,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1021102,北区3丁目,北区3丁目,北區3丁目,N. District 3rd St.,북구 3거리,บล็อกที่ 3 เขตเหนือ,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1021103,白门市场86,白門市場86,白門市場86,Shiromon Market 86,시로몬 시장 86,ตลาดชิโรมอน 86,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1021104,北区芝町,北区芝タウン,北區芝町,N. District Shiba Town,북구 시바타운,เขตเหนือ เมืองชิบะ,stages.json:Campaign
15_stage,关卡,Stage.Campaign.1021105,第7业务区第1区域,第7業務地区第1区域,第7商業區第1區域,"Business District 7, Zone 1",제7업무지구 1구역,เขตธุรกิจที่ 7 พื้นที่ 1,stages.json:Campaign
