source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
Abercrombie,애버크롬비,ko-KR,en-US,213041,重炮,Monitor,皇家,Royal Navy,,,阿贝克隆比,,
Abukuma,아부쿠마,ko-KR,en-US,302091,轻巡,Light Cruiser,重樱,Sakura Empire,,,阿武隈,貃,
Acasta,아카스타,ko-KR,en-US,201021,驱逐,Destroyer,皇家,Royal Navy,,,阿卡司塔,,
Achilles,아킬레스,ko-KR,en-US,202021,轻巡,Light Cruiser,皇家,Royal Navy,,,阿基里斯,,
Admiral Graf Spee,아드미랄 그라프 슈피,ko-KR,en-US,403051,重巡,Heavy Cruiser,铁血,Iron Blood,,,斯佩伯爵海军上将,休贝塔伯爵,
Admiral Hipper,아드미랄 히퍼,ko-KR,en-US,403011,重巡,Heavy Cruiser,铁血,Iron Blood,,,希佩尔海军上将,芙兰希卡,
Admiral Hipper META,아드미랄 히퍼·META,ko-KR,en-US,9703051,重巡,Heavy Cruiser,META,META,META,,希佩尔海军上将·META,芙兰希卡·META,
Admiral Hipper μ,아드미랄 히퍼(μ장비),ko-KR,en-US,403071,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,希佩尔海军上将(μ兵装),芙兰希卡(μ兵装),
Admiral Hipper.META,아드미랄 히퍼·META,ko-KR,en-US,9703051,重巡,Heavy Cruiser,META,META,META,,希佩尔海军上将·META,芙兰希卡·META,
Admiral Nakhimov,어드미럴 나히모프,ko-KR,en-US,799021,正航,Aircraft Carrier,北方联合,Northern Parliament,,,纳希莫夫海军上将,,
Admiral Zenker,아드미랄 젠커,ko-KR,en-US,404071,战巡,Battlecruiser,铁血,Iron Blood,,,曾克海军上将,泽特,
Adventure,어드벤처,ko-KR,en-US,9600161,风帆,Sailing Frigate,飓风船团,Tempesta,,,冒险号,,
Adventure Galley,어드벤처 갤리,ko-KR,en-US,900465,风帆,Sailing Frigate,飓风船团,Tempesta,,,加里冒险号,,
Agano,아가노,ko-KR,en-US,302201,轻巡,Light Cruiser,重樱,Sakura Empire,,,阿贺野,豼,
Ajax,에이잭스,ko-KR,en-US,202031,轻巡,Light Cruiser,皇家,Royal Navy,,,阿贾克斯,,
Akagi,아카기,ko-KR,en-US,307011,正航,Aircraft Carrier,重樱,Sakura Empire,,,赤城,凰,
Akagi μ,아카기(μ장비),ko-KR,en-US,307101,正航,Aircraft Carrier,重樱,Sakura Empire,μ兵装,,赤城(μ兵装),凰(μ兵装),
