id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
ActivityGoods.100101.1,夏日栖息地,Summer Sanctuary,夕涼み,여름 서식지,夏日棲息地,ActivityGoods.json
ActivityGoods.100102.1,夏日栖息地曲调,Summer Sanctuary Melody,夕涼みの調べ,여름 서식지 멜로디,夏日棲息地曲調,ActivityGoods.json
ActivityGoods.100103.1,惊奇冒险！渊海幽灵船传说！,Daring Adventure! The Ghost Ship Haunts the Deep,キケン？冒険？蒼海の幽霊船伝説！,기묘한 모험! 심해 유령선의 전설!,驚奇冒險！淵海幽靈船傳說！,ActivityGoods.json
ActivityGoods.100104.1,青空礼券,Cerulean Ticket,青空旅券,하늘 티켓,青空禮券,ActivityGoods.json
ActivityGoods.100105.1,萌芽礼券,Sprout Ticket,オアシス旅券,새싹 티켓,萌芽禮券,ActivityGoods.json
ActivityGoods.100106.1,煌羽冕冠,Radiant Feather Crown,翠煌羽の髪飾り,찬란한 조우관,煌羽冕冠,ActivityGoods.json
ActivityGoods.100107.1,星章抛光剂,Star Emblem Polisher,徽章研磨剤,별의 배지 연마제,星章拋光劑,ActivityGoods.json
ActivityGoods.100108.1,精致风枪,Exquisite Blower,頭髪乾燥機・改,정교한 에어건,精緻風槍,ActivityGoods.json
ActivityGoods.100109.1,纳凉风轮,Chilling Wind Spinner,納涼製造機,냉풍 윈드 휠,納涼風輪,ActivityGoods.json
ActivityGoods.100110.1,月之相,Moonlit Companion,三日月のオブジェ,달의 형상,月之相,ActivityGoods.json
ActivityGoods.100111.1,男爵的恩典,Count's Gift,男爵の恵み,남작의 은총,男爵的恩典,ActivityGoods.json
ActivityGoods.100112.1,妖蜂游戏卡带,Demon Bee Game Cartridge,弾幕カセット・上級,몬스터 비 게임 카트리지,妖蜂遊戲卡帶,ActivityGoods.json
ActivityGoods.100113.1,嘟噗精魄,Duloos Essence,ドボの精魂,뚜두의 정수,嘟噗精魄,ActivityGoods.json
ActivityGoods.100114.1,星梯搭乘票,Monolith Stairs Pass,超高速塔頂チケット,별승강기 티켓,星梯搭乘票,ActivityGoods.json
ActivityGoods.100115.1,冒险家的手抄百科,Trekker's Handwritten Encyclopedia,巡遊者上級ガイド,모험가 백서,冒險家的手抄百科,ActivityGoods.json
ActivityGoods.100116.1,星空的彩琉璃,Starlit Colored Glass,星空のレコード,별하늘의 스테인드 글라스,星空的彩琉璃,ActivityGoods.json
ActivityGoods.100117.1,男爵的窖藏,Count's Cellaring,男爵のとっておき,남작의 와인셀러,男爵的窖藏,ActivityGoods.json
ActivityGoods.100118.1,弹幕游戏卡带,Barrage Game Cartridge,弾幕カセット・中級,탄막 게임 카트리지,彈雨遊戲卡帶,ActivityGoods.json
ActivityGoods.100119.1,噜噗遗魂,Duloos Soul Remnant,ルボの遺魂,뚜두의 영혼,嚕噗遺魂,ActivityGoods.json
ActivityGoods.100120.1,朵拉,Dorra,ドーラ,도라,朵拉,ActivityGoods.json
ActivityGoods.100201.1,勇气之拳,Fist of Courage,迷いを断つ拳,용기의 주먹,勇氣之拳,ActivityGoods.json
ActivityGoods.100202.1,勇气之拳曲调,Fist of Courage Melody,迷いを断つ拳の調べ,용기의 주먹 멜로디,勇氣之拳曲調,ActivityGoods.json
ActivityGoods.100203.1,我们的旅团,Guild Sweet Guild,私たちのギルド,우리의 여단,我們的旅團,ActivityGoods.json
ActivityGoods.100204.1,巨像核心,Colossus Core,巨神兵のコア,거석상의 핵,巨像核心,ActivityGoods.json
ActivityGoods.100208.1,反射留影器,Reflective Photo Capturer,反射写真器,반사 사진기,反射留影器,ActivityGoods.json
ActivityGoods.100210.1,飞花瓷杯,Blossom Porcelain Cup,飛花の茶器,비단꽃 도자기잔,飛花瓷杯,ActivityGoods.json
ActivityGoods.100213.1,狂舞精魄,Frenzied Waltz Essence,狂乱の精魂,광무의 정수,狂舞精魄,ActivityGoods.json
ActivityGoods.100219.1,幻步遗魂,Phantom Step Remnant,幻歩の遺魂,춤사위의 영혼,幻步遺魂,ActivityGoods.json
