id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
DatingLandmark.14.1,学院,The Academy,学園,학원,學院,DatingLandmark.json
DatingLandmark.17.1,温泉度假村,Hot Spring Resort,温泉リゾート,온천 리조트,溫泉渡假村,DatingLandmark.json
DatingLandmark.5.1,洞窟,The Cave,洞窟,동굴,洞窟,DatingLandmark.json
DatingLandmark.6.1,甜品屋,The Dessert Shop,スイーツショップ,디저트 카페,甜點店,DatingLandmark.json
DatingLandmark.7.1,集市,The Market,マーケット,시장,市集,DatingLandmark.json
DatingLandmark.8.1,港口,The Port,港,항구,港口,DatingLandmark.json
StarTower.102.1,流水与暗影,Currents and Shadows,流水と暗影,물과 그림자,流水與暗影,StarTower.json
StarTower.202.1,烈焰与尘埃,Dust and Flames,烈火と泥鉱,불꽃과 먼지,烈焰與塵埃,StarTower.json
StarTower.302.1,风暴与闪电,Storm and Thunder,暴風と雷光,폭풍과 번개,風暴與閃電,StarTower.json
StarTower.401.1,原初的迷途,Misstep On One,原初の迷路,원초적 미로,原初的迷途,StarTower.json
curated.伊西村,伊西村,Eaze Village,イッシ村,잇시 마을,伊西村,curated (aligned in-game text)
curated.埃摩,埃摩,Emor,アモール,아모르,埃摩,curated (aligned in-game text)
curated.埃摩城,埃摩城,Emor City,アモール,아모르,埃摩城,curated (aligned in-game text)
curated.塞尔斯泰,塞尔斯泰,Sailstead,セルスティ,셀스티,塞爾斯泰,curated (aligned in-game text)
curated.幸运绿洲号,幸运绿洲号,The Lucky Oasis,オアシス号,럭키 오아시스호,幸運綠洲號,curated (aligned in-game text)
curated.弗拉维奥,弗拉维奥,Flavio,フラヴィオ,플라비오,弗拉維奧,curated (aligned in-game text)
curated.星塔,星塔,Monolith,星ノ塔,별의 탑,星塔,curated (aligned in-game text)
curated.灰城区,灰城区,Ash District,アッシュエリア,애시 에리어,灰城區,curated (aligned in-game text)
curated.米拉什,米拉什,Mirage,ミラーシュ,미라슈,米拉什,curated (aligned in-game text)
curated.苍梧城,苍梧城,Cangwu City,蒼梧城,창오성,蒼梧城,curated (aligned in-game text)
curated.菲莱,菲莱,Philae,フィーリエ,필리에,菲萊,curated (aligned in-game text)
curated.菲莱城,菲莱城,Philae City,フィーリエ,필리에,菲萊城,curated (aligned in-game text)
curated.诺瓦大陆,诺瓦大陆,Nova,ノヴァ大陸,노바 대륙,諾瓦大陸,curated (aligned in-game text)
curated.诺瓦帝国,诺瓦帝国,Nova Empire,ノヴァ帝国,노바 제국,諾瓦帝國,curated (aligned in-game text)
curated.贝林港,贝林港,Port Bellin,ベイリーン港,베일린 항구,貝林港,curated (aligned in-game text)
curated.金城区,金城区,Gold District,ゴールドエリア,골드 에리어,金城區,curated (aligned in-game text)
curated.银城区,银城区,Silver District,シルバーエリア,실버 에리어,銀城區,curated (aligned in-game text)
