id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
AffinityLevel.2068.1,灵魂伴侣,Soulmate,魂の伴侶,영혼단짝,靈魂伴侶,AffinityLevel.json
BoardNPC.173174.1,珀尔娜&维嘉尔,Bernina & Virigia,ヴェルナー&ヴェルジュ,베르너&베르주,珀爾娜&維嘉爾,BoardNPC.json
BoardNPC.713503.1,情人节雾语,Valentine's Day Mistique,ミスティ,발렌타인 미스티,情人節霧語,BoardNPC.json
BoardNPC.9102.1,薇洛,Willow,ウィロー,윌로,薇洛,BoardNPC.json
BoardNPC.9131.1,布洛克,Bloc,ブロッチ,블롯치,布洛可,BoardNPC.json
BoardNPC.9159.1,彼岸,Horizon,カナタ,카나타,彼岸,BoardNPC.json
BoardNPC.916402.1,伊织,Iori,イオリ,이오리,伊織,BoardNPC.json
Character.103.1,琥珀,Amber,コハク,코하쿠,琥珀,Character.json
Character.107.1,缇莉娅,Tilia,ティリア,틸리아,緹莉婭,Character.json
Character.108.1,卡西米拉,Kasimira,カシミラ,카시미라,卡西米拉,Character.json
Character.110.1,翡冷翠,Firenze,フィレン,피렌,翡冷翠,Character.json
Character.111.1,鸢尾,Iris,アヤメ,아야메,鳶尾,Character.json
Character.112.1,尘沙,Noya,セイナ,세이나,塵沙,Character.json
Character.113.1,师渺,Shimiao,シーミャオ,시먀오,師渺,Character.json
Character.114.1,猫眼,Chaton,シャトン,샤통,貓眼,Character.json
Character.115.1,火垂,Firefly,ホタル,호타루,火垂,Character.json
Character.116.1,岭川,Ridge,レイセン,레이센,嶺川,Character.json
Character.117.1,璟麟,Jinglin,ジンリン,징린,璟麟,Character.json
Character.118.1,科洛妮丝,Coronis,クルニス,크루니스,柯洛妮絲,Character.json
Character.119.1,花原,Nanoha,ナノハ,나노하,花原,Character.json
Character.120.1,卡娜丝,Canace,カナーチェ,카나체,卡娜絲,Character.json
Character.123.1,杏子,Ann,アンズ,안즈,杏子,Character.json
Character.125.1,苍兰,Freesia,フリージア,프리지아,蒼蘭,Character.json
Character.126.1,紫槿,Flora,フローラ,플로라,紫槿,Character.json
Character.127.1,特丽莎,Teresa,テレサ,테레사,特麗莎,Character.json
Character.130.1,多娜,Donna,トーナ,토나,多娜,Character.json
Character.132.1,密涅瓦,Minova,ミネルバ,미네르바,密涅瓦,Character.json
Character.133.1,夏花,Nazuka,ナツカ,나츠카,夏花,Character.json
Character.134.1,冬香,Fuyuka,フユカ,후유카,冬香,Character.json
Character.135.1,雾语,Mistique,ミスティ,미스티,霧語,Character.json
Character.137.1,埃莉诺,Eleanor,エレノア,엘레노어,埃莉諾,Character.json
Character.140.1,斯帕克拉,Sparkla,スパクル,스파클,斯帕克拉,Character.json
Character.141.1,赤霞,Chixia,チーシア,치시아,赤霞,Character.json
Character.142.1,珂赛特,Cosette,コゼット,코제트,珂賽特,Character.json
Character.143.1,风影,Wraith,レイス,레이스,風影,Character.json
Character.144.1,千都世,Chitose,チトセ,치토세,千都世,Character.json
Character.145.1,乙叶,Otoha,オトハ,오토하,乙葉,Character.json
Character.147.1,焦糖,Caramel,キャラメル,캐러멜,焦糖,Character.json
Character.149.1,格芮,Gerie,グレイ,그레이,格芮,Character.json
Character.150.1,菈露,Laru,ラール,라루,菈露,Character.json
Character.155.1,希娅,Shia,シア,시아,希婭,Character.json
Character.156.1,小禾,Nazuna,ナズナ,나즈나,小禾,Character.json
Character.157.1,花铃,Karin,カリン,카린,花鈴,Character.json
Character.158.1,菈露（圣夜）,Snowish Laru,ラール（聖夜）,라루(이브),聖夜菈露,Character.json
Character.159.1,科洛妮丝（新春）,Springseek Coronis,クルニス（華服）,크루니스(새해),緋春柯洛妮絲,Character.json
Character.160.1,薇洛（盛夏）,Suntide Willow,ウィロー（水着）,윌로(여름),沐夏薇洛,Character.json
CharacterArchiveBaseInfo.10301.1,姓名,Name,氏名,이름,姓名,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10302.1,生日,Birthday,生年月日,생일,生日,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10303.1,所属,Affiliation,所属,소속,所屬,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10304.1,技能,Skills,特技,스킬,技能,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10305.1,地址,Address,住所,주소,地址,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10306.1,经验,Experience,巡遊者歴,경력,經驗,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10307.1,武器,Weapon,武器,무기,武器,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10308.1,薪资,Rate,希望報酬,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11008.1,薪资,Rate,給与,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11408.1,薪资,Rate,依頼料,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11908.1,薪资,Rate,家事代行料金,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.12608.1,薪资,Rate,出演料,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.13008.1,薪资,Rate,配達料,급여,薪資,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14008.1,收费标准,Rate,希望報酬,급여,收費標準,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14108.1,收费标准,Rate,販売価格,급여,收費標準,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14301.1,姓名,Name,名前,이름,姓名,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14508.1,薪资,Rate,報酬,급여,薪資,CharacterArchiveBaseInfo.json
CharacterDes.103.1,四白,Si Bai,*****,Si Bai,四白,CharacterDes.json
CharacterDes.107.1,陈雨,Chen Yu,*****,Chen Yu,陳雨,CharacterDes.json
CharacterDes.108.1,李蝉妃,Li Chanfei,*****,Li Chanfei,李蟬妃,CharacterDes.json
CharacterDes.110.1,子音,Zi Yin,*****,Zi Yin,子音,CharacterDes.json
CharacterDes.111.1,陈章,Chen Zhang,*****,Chen Zhang,陳章,CharacterDes.json
CharacterDes.112.1,Kiyo,Kiyo,*****,Kiyo,Kiyo,CharacterDes.json
CharacterDes.113.1,陈阳,Chen Yang,*****,Chen Yang,陳陽,CharacterDes.json
CharacterDes.114.1,瑞比,Raby,*****,Raby,瑞比,CharacterDes.json
CharacterDes.115.1,刘雯,Liu Wen,*****,Liu Wen,劉雯,CharacterDes.json
CharacterDes.116.1,张楷轩,Zhang Kaixuan,*****,Zhang Kaixuan,張楷軒,CharacterDes.json
CharacterDes.117.1,韩娇娇,Han Jiaojiao,*****,Han Jiaojiao,韓嬌嬌,CharacterDes.json
CharacterDes.118.1,周语晗,Zhou Yuhan,*****,Zhou Yuhan,周語晗,CharacterDes.json
CharacterDes.119.1,豆奶,Dou Nai,*****,Dou Nai,豆奶,CharacterDes.json
CharacterDes.120.1,梁爽,Liang Shuang,*****,Liang Shuang,梁爽,CharacterDes.json
CharacterDes.123.1,静宸,Jing Chen,*****,Jing Chen,靜宸,CharacterDes.json
CharacterDes.125.1,张晔,Zhang Ye,*****,Zhang Ye,張曄,CharacterDes.json
CharacterDes.126.1,沐霏,Mu Fei,*****,Mu Fei,沐霏,CharacterDes.json
CharacterDes.127.1,井琉,Jing Liu,*****,Jing Liu,井琉,CharacterDes.json
CharacterDes.130.1,苏婉,Su Wan,*****,Su Wan,蘇婉,CharacterDes.json
CharacterDes.132.1,杨清江,Yang Qingjiang,*****,Yang Qingjiang,楊清江,CharacterDes.json
CharacterDes.133.1,刘十四,Liu Fourteen,*****,Liu Shisi,劉十四,CharacterDes.json
CharacterDes.134.1,刘一蕾,Liu Yilei,*****,Liu Yilei,劉一蕾,CharacterDes.json
CharacterDes.135.1,吴哲茹,Wu Zheru,*****,Wu Zheru,吳哲茹,CharacterDes.json
CharacterDes.137.1,施丛昊,Shi Conghao,*****,Shi Conghao,施叢昊,CharacterDes.json
CharacterDes.140.1,宋政楠,Song Zhengnan,*****,Song Zhengnan,宋政楠,CharacterDes.json
CharacterDes.141.1,唐夏芳,Tang Xiafang,*****,Tang Xiafang,唐夏芳,CharacterDes.json
CharacterDes.142.1,唐梦,Tang Meng,*****,Tang Meng,唐夢,CharacterDes.json
CharacterDes.143.1,王美心,Wang Meixin,*****,Wang Meixin,王美心,CharacterDes.json
CharacterDes.144.1,张梦娇,Zhang Mengjiao,*****,Zhang Mengjiao,張夢嬌,CharacterDes.json
CharacterDes.145.1,张安琪,Zhang Anqi,*****,Zhang Anqi,張安琪,CharacterDes.json
CharacterDes.147.1,蔡书瑾,Cai Shujin,*****,Cai Shujin,蔡書瑾,CharacterDes.json
CharacterDes.150.1,宋媛媛,Song Yuanyuan,*****,Song Yuanyuan,宋媛媛,CharacterDes.json
CharacterDes.155.1,Vila,Vila,*****,Vila,Vila,CharacterDes.json
CharacterDes.156.1,谢莹,Xie Ying,*****,Xie Ying,謝瑩,CharacterDes.json
CharacterDes.157.1,花玲,Karin,カリン,카린,花鈴,CharacterDes.json
CharacterDes.160.1,mace,mace,*****,mace,mace,CharacterDes.json
CharacterSkin.10301.1,琥珀-基础形象,Amber: Default,コハク・デフォルト,코하쿠-기본,琥珀-基礎形象,CharacterSkin.json
CharacterSkin.10302.1,琥珀-觉醒形象,Amber: Awakened,コハク・覚醒,코하쿠-각성,琥珀-覺醒形象,CharacterSkin.json
CharacterSkin.10303.1,玩心无邪,Playful Innocence,いたずらっこのお留守番,어흥냥이,玩心無邪,CharacterSkin.json
CharacterSkin.10304.1,邀你静心，悠然一夏,Ease Into an Unhurried Summer,カムカムサマータイム,느긋한 여름의 초대장,靜享沁涼，悠然一夏,CharacterSkin.json
CharacterSkin.10701.1,缇莉娅-基础形象,Tilia: Default,ティリア・デフォルト,틸리아-기본,緹莉婭-基礎形象,CharacterSkin.json
CharacterSkin.10702.1,缇莉娅-觉醒形象,Tilia: Awakened,ティリア・覚醒,틸리아-각성,緹莉婭-覺醒形象,CharacterSkin.json
CharacterSkin.10703.1,此即吾之正义！,This Is My Justice!,イッツ・マイ・ジャスティス！,이것이 나의 정의!,此即吾之正義！,CharacterSkin.json
CharacterSkin.10704.1,光彩闪亮，斗志昂扬,"Shining Bright, Spirits High",ブライトアップ、チアアップ,눈부시게 당당하게,盛夏流光，昂首逐浪,CharacterSkin.json
CharacterSkin.10801.1,卡西米拉-基础形象,Kasimira: Default,カシミラ・デフォルト,카시미라-기본,卡西米拉-基礎形象,CharacterSkin.json
CharacterSkin.10802.1,卡西米拉-觉醒形象,Kasimira: Awakened,カシミラ・覚醒,카시미라-각성,卡西米拉-覺醒形象,CharacterSkin.json
CharacterSkin.11001.1,翡冷翠-基础形象,Firenze: Default,フィレン・デフォルト,피렌-기본,翡冷翠-基礎形象,CharacterSkin.json
CharacterSkin.11002.1,翡冷翠-觉醒形象,Firenze: Awakened,フィレン・覚醒,피렌-각성,翡冷翠-覺醒形象,CharacterSkin.json
CharacterSkin.11101.1,鸢尾-基础形象,Iris: Default,アヤメ・デフォルト,아야메-기본,鳶尾-基礎形象,CharacterSkin.json
CharacterSkin.11102.1,鸢尾-觉醒形象,Iris: Awakened,アヤメ・覚醒,아야메-각성,鳶尾-覺醒形象,CharacterSkin.json
CharacterSkin.11103.1,1/365的你,The 1/365th of You,1/365の君と,1/365의 그대와,1/365的你,CharacterSkin.json
CharacterSkin.11104.1,邀你欢喜，轻波漂游,Drifting Together on Gentle Waves,プカプカサマータイム,기쁜 이 순간 물결을 타고,伴你清歡，輕波漂游,CharacterSkin.json
CharacterSkin.11201.1,尘沙-基础形象,Noya: Default,セイナ・デフォルト,세이나-기본,塵沙-基礎形象,CharacterSkin.json
CharacterSkin.11202.1,尘沙-觉醒形象,Noya: Awakened,セイナ・覚醒,세이나-각성,塵沙-覺醒形象,CharacterSkin.json
CharacterSkin.11203.1,日晒的余温,Lingering Sunlight,日焼けあとの思い出,햇살의 온기,日曬的餘溫,CharacterSkin.json
CharacterSkin.11301.1,师渺-基础形象,Shimiao: Default,シーミャオ・デフォルト,시먀오-기본,師渺-基礎形象,CharacterSkin.json
CharacterSkin.11302.1,师渺-觉醒形象,Shimiao: Awakened,シーミャオ・覚醒,시먀오-각성,師渺-覺醒形象,CharacterSkin.json
CharacterSkin.11303.1,辣就试试看吧！,Feeling Spicy? Take the Heat!,負けるな！マジカルガール！,매운맛 좀 볼래?!,辣就來試試！,CharacterSkin.json
CharacterSkin.11401.1,猫眼-基础形象,Chaton: Default,シャトン・デフォルト,샤통-기본,貓眼-基礎形象,CharacterSkin.json
CharacterSkin.11402.1,猫眼-觉醒形象,Chaton: Awakened,シャトン・覚醒,샤통-각성,貓眼-覺醒形象,CharacterSkin.json
CharacterSkin.11501.1,火垂-基础形象,Firefly: Default,ホタル・デフォルト,호타루-기본,火垂-基礎形象,CharacterSkin.json
CharacterSkin.11502.1,火垂-觉醒形象,Firefly: Awakened,ホタル・覚醒,호타루-각성,火垂-覺醒形象,CharacterSkin.json
CharacterSkin.11601.1,岭川-基础形象,Ridge: Default,レイセン・デフォルト,레이센-기본,嶺川-基礎形象,CharacterSkin.json
CharacterSkin.11602.1,岭川-觉醒形象,Ridge: Awakened,レイセン・覚醒,레이센-각성,嶺川-覺醒形象,CharacterSkin.json
CharacterSkin.11603.1,郁蓊恒温室中憩,Resting in the Lush Greenhouse,眠り姫の光合成,잠자는 온실 속의 공주,綠蔭深處睡美人,CharacterSkin.json
CharacterSkin.11701.1,璟麟-基础形象,Jinglin: Default,ジンリン・デフォルト,징린-기본,璟麟-基礎形象,CharacterSkin.json
CharacterSkin.11702.1,璟麟-觉醒形象,Jinglin: Awakened,ジンリン・覚醒,징린-각성,璟麟-覺醒形象,CharacterSkin.json
CharacterSkin.11801.1,科洛妮丝-基础形象,Coronis: Default,クルニス・デフォルト,크루니스-기본,柯洛妮絲-基礎形象,CharacterSkin.json
CharacterSkin.11802.1,科洛妮丝-觉醒形象,Coronis: Awakened,クルニス・覚醒,크루니스-각성,柯洛妮絲-覺醒形象,CharacterSkin.json
CharacterSkin.11901.1,花原-基础形象,Nanoha: Default,ナノハ・デフォルト,나노하-기본,花原-基礎形象,CharacterSkin.json
CharacterSkin.11902.1,花原-觉醒形象,Nanoha: Awakened,ナノハ・覚醒,나노하-각성,花原-覺醒形象,CharacterSkin.json
CharacterSkin.11903.1,异国风起时,When Distant Winds Rise,異国情緒で準備中,낯선 바람이 불어올 때,異國風起時,CharacterSkin.json
CharacterSkin.12001.1,卡娜丝-基础形象,Canace: Default,カナーチェ・デフォルト,카나체-기본,卡娜絲-基礎形象,CharacterSkin.json
CharacterSkin.12002.1,卡娜丝-觉醒形象,Canace: Awakened,カナーチェ・覚醒,카나체-각성,卡娜絲-覺醒形象,CharacterSkin.json
CharacterSkin.12003.1,胜利的方程式,The Formula for Victory,狙え、サービスエース！,승리의 방정식,勝利的方程式,CharacterSkin.json
CharacterSkin.12301.1,杏子-基础形象,Ann: Default,アンズ・デフォルト,안즈-기본,杏子-基礎形象,CharacterSkin.json
CharacterSkin.12302.1,杏子-觉醒形象,Ann: Awakened,アンズ・覚醒,안즈-각성,杏子-覺醒形象,CharacterSkin.json
CharacterSkin.12303.1,漫游奇境的森林公主,Princess of the Wondrous Wilds,不思議の国のアンズ,이상한 나라의 복슬 공주,漫步奇境的森林公主,CharacterSkin.json
CharacterSkin.12501.1,苍兰-基础形象,Freesia: Default,フリージア・デフォルト,프리지아-기본,蒼蘭-基礎形象,CharacterSkin.json
CharacterSkin.12502.1,苍兰-觉醒形象,Freesia: Awakened,フリージア・覚醒,프리지아-각성,蒼蘭-覺醒形象,CharacterSkin.json
CharacterSkin.12503.1,落雪的赠礼,The Gift of Falling Snow,雪降る夜の贈り物,눈 내리는 밤의 선물,落雪的贈禮,CharacterSkin.json
CharacterSkin.12601.1,紫槿-基础形象,Flora: Default,フローラ・デフォルト,플로라-기본,紫槿-基礎形象,CharacterSkin.json
CharacterSkin.12602.1,紫槿-觉醒形象,Flora: Awakened,フローラ・覚醒,플로라-각성,紫槿-覺醒形象,CharacterSkin.json
CharacterSkin.12701.1,特丽莎-基础形象,Teresa: Default,テレサ・デフォルト,테레사-기본,特麗莎-基礎形象,CharacterSkin.json
CharacterSkin.12702.1,特丽莎-觉醒形象,Teresa: Awakened,テレサ・覚醒,테레사-각성,特麗莎-覺醒形象,CharacterSkin.json
CharacterSkin.12703.1,新人勇者前来报到,Rookie Hero Reporting In,ビギナー勇者,오늘부터 신입 용사!,新人勇者前來報到,CharacterSkin.json
CharacterSkin.13001.1,多娜-基础形象,Donna: Default,トーナ・デフォルト,토나-기본,多娜-基礎形象,CharacterSkin.json
CharacterSkin.13002.1,多娜-觉醒形象,Donna: Awakened,トーナ・覚醒,토나-각성,多娜-覺醒形象,CharacterSkin.json
CharacterSkin.13201.1,密涅瓦-基础形象,Minova: Default,ミネルバ・デフォルト,미네르바-기본,密涅瓦-基礎形象,CharacterSkin.json
CharacterSkin.13202.1,密涅瓦-觉醒形象,Minova: Awakened,ミネルバ・覚醒,미네르바-각성,密涅瓦-覺醒形象,CharacterSkin.json
CharacterSkin.13203.1,微醺白日梦,Tipsy Daydream,アイマイハクチューム,나른한 백일몽,微醺白日夢,CharacterSkin.json
CharacterSkin.13204.1,粼粼镜影☆漆黑心伤,Rippling Void of the Darkest Heartbreak,ノワールエトワール,거울아 거울아 나를 치유해줘,琉璃倒影☆寂寥呢喃,CharacterSkin.json
CharacterSkin.13301.1,夏花-基础形象,Nazuka: Default,ナツカ・デフォルト,나츠카-기본,夏花-基礎形象,CharacterSkin.json
CharacterSkin.13302.1,夏花-觉醒形象,Nazuka: Awakened,ナツカ・覚醒,나츠카-각성,夏花-覺醒形象,CharacterSkin.json
