category,source,target,tgt_lng
01_character,灵魂伴侣,Soulmate,en-US
01_character,魂の伴侶,Soulmate,en-US
01_character,영혼단짝,Soulmate,en-US
01_character,靈魂伴侶,Soulmate,en-US
01_character,珀尔娜&维嘉尔,Bernina & Virigia,en-US
01_character,ヴェルナー&ヴェルジュ,Bernina & Virigia,en-US
01_character,베르너&베르주,Bernina & Virigia,en-US
01_character,珀爾娜&維嘉爾,Bernina & Virigia,en-US
01_character,情人节雾语,Valentine's Day Mistique,en-US
01_character,ミスティ,Valentine's Day Mistique,en-US
01_character,발렌타인 미스티,Valentine's Day Mistique,en-US
01_character,情人節霧語,Valentine's Day Mistique,en-US
01_character,薇洛,Willow,en-US
01_character,ウィロー,Willow,en-US
01_character,윌로,Willow,en-US
01_character,布洛克,Bloc,en-US
01_character,ブロッチ,Bloc,en-US
01_character,블롯치,Bloc,en-US
01_character,布洛可,Bloc,en-US
01_character,彼岸,Horizon,en-US
01_character,カナタ,Horizon,en-US
01_character,카나타,Horizon,en-US
01_character,伊织,Iori,en-US
01_character,イオリ,Iori,en-US
01_character,이오리,Iori,en-US
01_character,伊織,Iori,en-US
01_character,琥珀,Amber,en-US
01_character,コハク,Amber,en-US
01_character,코하쿠,Amber,en-US
01_character,缇莉娅,Tilia,en-US
01_character,ティリア,Tilia,en-US
01_character,틸리아,Tilia,en-US
01_character,緹莉婭,Tilia,en-US
01_character,卡西米拉,Kasimira,en-US
01_character,カシミラ,Kasimira,en-US
01_character,카시미라,Kasimira,en-US
01_character,翡冷翠,Firenze,en-US
01_character,フィレン,Firenze,en-US
01_character,피렌,Firenze,en-US
01_character,鸢尾,Iris,en-US
01_character,アヤメ,Iris,en-US
01_character,아야메,Iris,en-US
01_character,鳶尾,Iris,en-US
01_character,尘沙,Noya,en-US
01_character,セイナ,Noya,en-US
01_character,세이나,Noya,en-US
01_character,塵沙,Noya,en-US
01_character,师渺,Shimiao,en-US
01_character,シーミャオ,Shimiao,en-US
