id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
Item.510302.1,枪林弹雨,Bullet Storm,降雨弾,총알 세례,槍林彈雨,Item.json (Type 6/Stype 42)
Item.510304.1,盛情回音,Echo of Hospitality,感情残響,성대한 울림,盛情回音,Item.json (Type 6/Stype 42)
Item.510305.1,贪婪枪火,Greed Gunfire,貪欲銃火,탐욕의 총화,貪婪槍火,Item.json (Type 6/Stype 41)
Item.510307.1,自信时刻,Confident Mode,自信満々,확신의 순간,自信時刻,Item.json (Type 6/Stype 41)
Item.510308.1,弱点标定,Weakness Mark,弱点見極め,약점 조준,弱點校準,Item.json (Type 6/Stype 41)
Item.510309.1,盛大尾奏,Grand Finale,標的捕捉,웅장한 피날레,盛大尾奏,Item.json (Type 6/Stype 41)
Item.510310.1,震撼终曲,Spectacular Finale,標的撃破,전율의 엔딩곡,震撼終曲,Item.json (Type 6/Stype 41)
Item.510311.1,燃情节拍,Fiery Rhythm,野良猫のリズム,열정의 리듬,燃情節拍,Item.json (Type 6/Stype 41)
Item.510312.1,灼热舞步,Blazing Waltz,野良猫ステップ,뜨거운 춤사위,灼熱舞步,Item.json (Type 6/Stype 41)
Item.510313.1,敏锐重音,Keen Accent,凄腕ガンナー,섬세한 강음,敏銳重音,Item.json (Type 6/Stype 41)
Item.510321.1,追猎舞步,Hunting Waltz,追尾の舞,추적의 춤,追獵舞步,Item.json (Type 6/Stype 42)
Item.510323.1,回踏舞步,Echoing Waltz,後進の舞,퇴보의 춤,回踏舞步,Item.json (Type 6/Stype 42)
Item.510324.1,幻焰舞步,Flame Waltz,幻炎の舞,환염의 춤,幻焰舞步,Item.json (Type 6/Stype 42)
Item.510325.1,灵动猫步,Nimble Catwalk,黒猫の気配,민첩한 캣스텝,靈動貓步,Item.json (Type 6/Stype 41)
Item.510326.1,渐强节拍,Crescendo Beat,猛る炎渦,강해지는 리듬,漸強節拍,Item.json (Type 6/Stype 41)
Item.510327.1,共鸣弹痕,Bullet Echoes,弾痕共鳴,공명의 탄흔,共鳴彈痕,Item.json (Type 6/Stype 41)
Item.510328.1,枪火余温,Lingering Gunfire,銃火の余韻,총열의 잔열,槍火餘溫,Item.json (Type 6/Stype 41)
Item.510329.1,凌火热舞,Blazing Dance,猛火の舞,열화의 춤사위,凌火熱舞,Item.json (Type 6/Stype 41)
Item.510330.1,蓄火裂空,Sky Splitter,裂空の炎,열공의 불씨,蓄火裂空,Item.json (Type 6/Stype 41)
