id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
ActivityDoubleQuest.101001.1,累积消耗200干劲,Consume a total of 200 Vigor,やる気を累計200消費する,누적 200 활력 소모,累計消耗200點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101002.1,累积消耗300干劲,Consume a total of 300 Vigor,やる気を累計300消費する,누적 300 활력 소모,累計消耗300點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101003.1,累积消耗400干劲,Consume a total of 400 Vigor,やる気を累計400消費する,누적 400 활력 소모,累計消耗400點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101004.1,累积消耗600干劲,Consume a total of 600 Vigor,やる気を累計600消費する,누적 600 활력 소모,累計消耗600點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101005.1,累积消耗800干劲,Consume a total of 800 Vigor,やる気を累計800消費する,누적 800 활력 소모,累計消耗800點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101006.1,累积消耗1000干劲,"Consume a total of 1,000 Vigor",やる気を累計1000消費する,누적 1000 활력 소모,累計消耗1000點活力,ActivityDoubleQuest.json
ActivityDoubleQuest.101007.1,累积消耗1200干劲,"Consume a total of 1,200 Vigor",やる気を累計1200消費する,누적 1200 활력 소모,累計消耗1200點活力,ActivityDoubleQuest.json
ActivityPenguinCardQuest.101001.1,通关「入镜伊始」,Clear Moment of Entry,始まりの鏡をクリアする,「거울의 서막」 클리어,通過「入鏡伊始」,ActivityPenguinCardQuest.json
ActivityPenguinCardQuest.101002.1,通关「火之镜」,Clear Ignis Mirror,炎を宿す鏡をクリアする,「불의 거울」 클리어,通過「火之鏡」,ActivityPenguinCardQuest.json
ActivityPenguinCardQuest.101003.1,以3星评级通关「火之镜」,Clear Ignis Mirror with 3★.,炎を宿す鏡を★3でクリアする,「불의 거울」 ★3 클리어,以3星評級通過「火之鏡」,ActivityPenguinCardQuest.json
ActivityPenguinCardQuest.101004.1,通关「水之镜」,Clear Aqua Mirror,水を宿す鏡をクリアする,「물의 거울」 클리어,通過「水之鏡」,ActivityPenguinCardQuest.json
ActivityPenguinCardQuest.101005.1,以3星评级通关「水之镜」,Clear Aqua Mirror with 3★.,水を宿す鏡を★3でクリアする,「물의 거울」 ★3 클리어,以3星評級通過「水之鏡」,ActivityPenguinCardQuest.json
