category,source,target,tgt_lng
01_character,爱露,อารุ,th-TH
01_character,アル,อารุ,th-TH
01_character,亞瑠,อารุ,th-TH
01_character,Aru,อารุ,th-TH
01_character,아루,อารุ,th-TH
01_character,艾米,เอมิ,th-TH
01_character,エイミ,เอมิ,th-TH
01_character,英美,เอมิ,th-TH
01_character,Eimi,เอมิ,th-TH
01_character,에이미,เอมิ,th-TH
01_character,晴奈,ฮารุนะ,th-TH
01_character,ハルナ,ฮารุนะ,th-TH
01_character,羽留奈,ฮารุนะ,th-TH
01_character,Haruna,ฮารุนะ,th-TH
01_character,하루나,ฮารุนะ,th-TH
01_character,日富美,ฮิฟุมิ,th-TH
01_character,ヒフミ,ฮิฟุมิ,th-TH
01_character,日步美,ฮิฟุมิ,th-TH
01_character,Hifumi,ฮิฟุมิ,th-TH
01_character,히후미,ฮิฟุมิ,th-TH
01_character,日奈,ฮินะ,th-TH
01_character,ヒナ,ฮินะ,th-TH
01_character,陽奈,ฮินะ,th-TH
01_character,Hina,ฮินะ,th-TH
01_character,히나,ฮินะ,th-TH
01_character,星野,โฮชิโนะ,th-TH
01_character,ホシノ,โฮชิโนะ,th-TH
01_character,Hoshino,โฮชิโนะ,th-TH
01_character,호시노,โฮชิโนะ,th-TH
01_character,伊织,อิโอริ,th-TH
01_character,イオリ,อิโอริ,th-TH
01_character,伊織,อิโอริ,th-TH
01_character,Iori,อิโอริ,th-TH
01_character,이오리,อิโอริ,th-TH
01_character,真纪,มากิ,th-TH
01_character,マキ,มากิ,th-TH
01_character,真紀,มากิ,th-TH
01_character,Maki,มากิ,th-TH
01_character,마키,มากิ,th-TH
01_character,妮露,เนรุ,th-TH
01_character,ネル,เนรุ,th-TH
01_character,寧瑠,เนรุ,th-TH
01_character,Neru,เนรุ,th-TH
01_character,네루,เนรุ,th-TH
01_character,泉,อิซุมิ,th-TH
01_character,イズミ,อิซุมิ,th-TH
01_character,Izumi,อิซุมิ,th-TH
01_character,이즈미,อิซุมิ,th-TH
01_character,白子,ชิโรโกะ,th-TH
01_character,シロコ,ชิโรโกะ,th-TH
01_character,Shiroko,ชิโรโกะ,th-TH
01_character,시로코,ชิโรโกะ,th-TH
01_character,瞬,ชุน,th-TH
01_character,シュン,ชุน,th-TH
01_character,旬,ชุน,th-TH
01_character,Shun,ชุน,th-TH
01_character,슌,ชุน,th-TH
