id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
MainSkill.100101.1,强音·主调,Fortissimo: Main Theme,フォルティシモ,포르테·멜로디,強音·主調,MainSkill.json
MainSkill.100201.1,强音·和声,Fortissimo: Harmony,フォルテ･コード,포르테·하모니,強音·和聲,MainSkill.json
MainSkill.100301.1,律动·主调,Cadence: Main Theme,ジョコーソ,리듬·멜로디,律動·主調,MainSkill.json
MainSkill.100401.1,律动·和声,Cadence: Harmony,ジョコーソ･コード,리듬·하모니,律動·和聲,MainSkill.json
MainSkill.100501.1,高潮·主调,Crescendo: Main Theme,クレッシェンド,클라이막스·멜로디,高潮·主調,MainSkill.json
MainSkill.100601.1,高潮·和声,Crescendo: Harmony,クレッシェンド･コード,클라이막스·하모니,高潮·和聲,MainSkill.json
MainSkill.100701.1,谐奏·主调,Harmonics: Main Theme,エネルジコ,화음·멜로디,協奏·主調,MainSkill.json
MainSkill.100801.1,谐奏·和声,Harmonics: Harmony,エネルジコ･コード,화음·하모니,協奏·和聲,MainSkill.json
MainSkill.200101.1,盛宴欢愉,Feasts and Revelry,グランドフェスタ,성찬의 환희,盛宴歡愉,MainSkill.json
MainSkill.200201.1,喧哗勇力,Cry of the Valor,ランブルフォース,소란의 용기,喧嘩勇力,MainSkill.json
MainSkill.200301.1,极乐忘我,In Ecstasy,ヘブンリーブリス,무아지경,極樂忘我,MainSkill.json
MainSkill.200501.1,情热如火,Passion Ablaze,ブレイジングハート,불 같은 열정,情熱如火,MainSkill.json
MainSkill.200601.1,光启吉兆,Radiant Omen,ブレッシングレイ,빛의 길조,光啟吉兆,MainSkill.json
MainSkill.200701.1,乘风而起,Rise with Zephyr,スカイライザー,바람을 타고 비상,乘風而起,MainSkill.json
MainSkill.200801.1,涌水泡沫,Bubbling Torrent,オーバーフロー,솟구치는 물거품,湧水泡沫,MainSkill.json
MainSkill.200901.1,黯灭余音,Echoes of Eclipse,ロストレクイエム,검은 소멸의 잔음,黯滅餘音,MainSkill.json
MainSkill.201001.1,坚韧意志,Will of Steel,巌の意志,강인한 의지,堅韌意志,MainSkill.json
MainSkill.300101.1,柠柚好奇,Zesty Curiosity,爽やかな香り,레몬과 유자의 호기심,檸柚好奇,MainSkill.json
MainSkill.300201.1,季节波形,Seasonal Waves,四季折々,일렁이는 계절,季節波形,MainSkill.json
MainSkill.300301.1,摇滚派对,Rock Party,ヒートソウル,로큰롤 파티,搖滾派對,MainSkill.json
MainSkill.300401.1,热情双月,Ardent Twin Moons,ルナティックパッション,뜨거운 트윈 문,熱情雙月,MainSkill.json
MainSkill.300501.1,嘭嘭光芒,Glimmer Bubbles,ポンポンスパーク,펑펑 광채,嘭嘭光芒,MainSkill.json
MainSkill.300601.1,安眠之光,Light Lullaby,スイートドリーム,숙면의 빛,安眠之光,MainSkill.json
MainSkill.300701.1,翠色梦彩,Emerald Dreamscape,夢のまにまに,취옥색 꿈결,翠色夢彩,MainSkill.json
MainSkill.300801.1,顺风旅程,Tailwind Journey,風とともに,순풍의 여정,順風旅程,MainSkill.json
MainSkill.300901.1,梦幻泡影,Dreamlike Illusion,スパークルレイン,몽환의 거품,夢幻泡影,MainSkill.json
MainSkill.301001.1,蒸汽清香,Aromatic Steam,ヴェイパーブレス,훈연의 향기,蒸汽清香,MainSkill.json
MainSkill.301101.1,暗夜节拍,Nocturne Beat,ダークナイトビート,어둠의 리듬,暗夜節拍,MainSkill.json
MainSkill.301201.1,星空畅想,Starry Reverie,スターリービジョン,별하늘의 상상,星空暢想,MainSkill.json
MainSkill.301301.1,树影斑驳,Dappled Shade,茜色の絨毯,숲그늘의 잔영,樹影斑駁,MainSkill.json
MainSkill.301401.1,千锤百炼,Forged to Perfection,鍛造の極み,천 번의 담금질,千錘百鍊,MainSkill.json
MainSkill.301501.1,花香依旧,Lingering Fragrance,ブルームメモリー,영원한 꽃향기,花香依舊,MainSkill.json
MainSkill.301601.1,盛怒绽放,Fury in Bloom,紅焔の花,분노의 만개,盛怒綻放,MainSkill.json
MainSkill.301701.1,转转光芒,Twirl of Light,ぐるぐるキラット,빙빙 광채,轉轉光芒,MainSkill.json
MainSkill.301801.1,劲爽开盖,Fizz and Pop,プルタブオープン,경쾌한 개봉,勁爽開蓋,MainSkill.json
MainSkill.301901.1,浮影落尘,Ephemeral Shadowfall,逆巻く影,그림자와 먼지,浮影落塵,MainSkill.json
MainSkill.302001.1,刻奇恐惧,Kitschphobia,迫りくる恐怖,기괴한 공포,刻奇恐懼,MainSkill.json
MainSkill.302101.1,魅镜闪烁,A Refraction of Mirage,すべてを見通す鏡,빛나는 매혹의 거울,魅鏡閃爍,MainSkill.json
MainSkill.302201.1,提灯祝祷,Benediction Under Lantern,虚実をあばく灯火,등불 기원,提燈祝禱,MainSkill.json
MainSkill.302301.1,天使祈愿,Angel's Prayer,儚き願い,천사의 기도,天使祈願,MainSkill.json
MainSkill.302401.1,假日呼唤,Call of Holiday,リラックスタイム,휴일의 부름,假日呼喚,MainSkill.json
MainSkill.302501.1,诱惑之蜜,Forbidden Nectar,エンチャントハニー,유혹의 꿀,誘惑之蜜,MainSkill.json
MainSkill.302601.1,营业技巧,Business Tips,営業スマイル,영업 기술,營業技巧,MainSkill.json
MainSkill.400101.1,猫神降歌,Meowing Cat God,在りし日の記憶,고양이 신 레퀴엠,貓神降歌,MainSkill.json
