category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
14_furniture,家具,Furniture.1,自然木质地板,ナチュラルな木の床,自然木質地板,Natural Wood Floor,내츄럴 나무 바닥,พื้นไม้ธรรมชาติ,furniture.json
14_furniture,家具,Furniture.2,天然木墙,ナチュラルな木の壁,天然木牆,Natural Wood Wall,내츄럴 나무 벽,ผนังไม้ธรรมชาติ,furniture.json
14_furniture,家具,Furniture.3,天空蓝渐层背景,空色のグラデーション背景,天空藍漸層背景,Sky Blue Gradient Background,하늘색 그라데이션 배경,พื้นหลังไล่สีฟ้า,furniture.json
14_furniture,家具,Furniture.4,白板,ホワイトボード,白板,Whiteboard,화이트보드,ไวท์บอร์ด,furniture.json
14_furniture,家具,Furniture.5,原木收纳柜,原木の収納ケース,原木收納櫃,Wood Storage Cabinet,원목 수납장,ชั้นวางของไม้,furniture.json
14_furniture,家具,Furniture.6,蓝色简约地毯,シンプルな青色カーペット,藍色簡約地毯,Simple Blue Carpet,파랑색 심플 카펫,พรมเรียบสีน้ำเงิน,furniture.json
14_furniture,家具,Furniture.7,原木椅,原木の椅子,原木椅,Solid Wood Chair,원목 의자,เก้าอี้ไม้,furniture.json
14_furniture,家具,Furniture.8,原木辅助椅,原木のサイドチェア,原木輔助椅,Solid Wood Spare Chair,원목 보조의자,เก้าอี้เสริมไม้,furniture.json
14_furniture,家具,Furniture.9,原木收纳桌,原木の収納テーブル,原木收納桌,Solid Wood Storage Table,원목 수납 테이블,โต๊ะข้างไม้,furniture.json
14_furniture,家具,Furniture.10,原木大型桌子,原木の大型テーブル,原木大型桌子,Large Wood Table,원목 대형 테이블,โต๊ะไม้ขนาดใหญ่,furniture.json
14_furniture,家具,Furniture.11,窗帘窗户,カーテン付き窓,窗簾窗戶,Curtained Window,커튼 창문,หน้าต่างติดม่าน,furniture.json
14_furniture,家具,Furniture.1100,白色咖啡桌,白いコーヒーテーブル,白色咖啡桌,White Coffee Table,흰색 커피 테이블,โต๊ะกลางสีขาว,furniture.json
14_furniture,家具,Furniture.1101,配色单人椅,カラーのシングルチェア,配色單人椅,Colorful Chair,배색 싱글 의자,เก้าอี้เดี่ยวสีผสม,furniture.json
14_furniture,家具,Furniture.1102,花盆组合置物架,植木鉢の棚,花盆組合置物架,Planter Set Shelf,화분 세트 선반,ชั้นวางกระถางต้นไม้,furniture.json
14_furniture,家具,Furniture.1103,白色甜点桌,白いデザートテーブル,白色甜點桌,White Dessert Table,흰색 디저트 테이블,โต๊ะของหวานสีขาว,furniture.json
14_furniture,家具,Furniture.1104,配色双人椅,カラーの長椅子,配色雙人椅,Colorful Loveseat,배색 더블 의자,เก้าอี้คู่สีผสม,furniture.json
14_furniture,家具,Furniture.1105,配色2段式花盆,カラーの二段植木鉢,配色2段式花盆,Colorful 2-Tier Planter,배색 2단 화분,กระถางต้นไม้สีผสม 2 ชั้น,furniture.json
14_furniture,家具,Furniture.1106,Momo好友菜单壁饰,モモフレンズのメニューの壁飾り,Momo好友菜單壁飾,Momo Friends Menu Wall Decoration,모모프렌즈 메뉴 벽장식,ผนังเมนู MOMO FRIENDS,furniture.json
14_furniture,家具,Furniture.1107,Momo好友相框柱子,モモフレンズの写真付きの柱,Momo好友相框柱子,Momo Friends Frame Pillar,모모프렌즈 액자 기둥,เสาติดรูป MOMO FRIENDS,furniture.json
14_furniture,家具,Furniture.1108,落地窗,ガラスの窓,落地窗,All-Glass Window,통유리 창문,หน้าต่างกระจก,furniture.json
14_furniture,家具,Furniture.1109,佩洛洛组合置物架,ペロロのセット棚,佩洛洛組合置物架,Peroro Set Shelf,페로로 세트 선반,ชั้นวางเซ็ตเพโรโร่,furniture.json
14_furniture,家具,Furniture.1200,紫色抛光地板,青いタイルの床,紫色拋光地板,Polished Blue Floor,파란색 폴리싱 바닥,พื้นขัดเงาสีฟ้า,furniture.json
14_furniture,家具,Furniture.1201,木吧台,木製バーカウンター,木吧台,Wood Bar Counter,우드 카운터 바,เคาน์เตอร์บาร์ไม้,furniture.json
14_furniture,家具,Furniture.1202,木制收纳吧,木製収納付きドリンクセット,木製收納吧,Wood Self-Serve Bar,우드 수납 바,บาร์วางของไม้,furniture.json
14_furniture,家具,Furniture.1203,白色佩洛洛椅子,ペロロ付きのカラーチェア,白色佩洛洛椅子,Colorful Peroro Chair,배색 페로로 의자,เก้าอี้เพโรโร่สีผสม,furniture.json
14_furniture,家具,Furniture.1204,Momo好友霓虹电子板,モモフレンズのネオン電光板,Momo好友霓虹電子板,Momo Friends Neon Display,모모프렌즈 네온 전광판,ป้ายนีออน MOMO FRIENDS,furniture.json
14_furniture,家具,Furniture.1300,蓝色抛光墙。,青いタイルの壁,藍色拋光牆。,Polished Blue Wall,파란색 폴리싱 벽,ผนังขัดเงาสีฟ้า,furniture.json
14_furniture,家具,Furniture.1301,木制厨房吧台,木製キッチンカウンター,木製廚房吧台,Wood Kitchen Bar,우드 키친 바,บาร์ห้องครัวไม้,furniture.json
