id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
DemonAdvance.1.1,魔王权限等级,Authorization Level,魔王権限,마왕 권한 레벨,魔王權限等級,DemonAdvance.json
DictionaryDiagram.10020101.1,升级,Level Up,レベルアップ,레벨업,升級,DictionaryDiagram.json
DictionaryDiagram.10020102.1,进阶,Tier Up,昇格,승급,進階,DictionaryDiagram.json
DictionaryDiagram.10020103.1,觉醒,Awakening,覚醒,각성,覺醒,DictionaryDiagram.json
DictionaryDiagram.10030101.1,技能概述,Skills Description,スキル,스킬 설명,技能概述,DictionaryDiagram.json
DictionaryDiagram.10030102.1,技能强化,Skills Enhancement,スキル強化,스킬 강화,技能強化,DictionaryDiagram.json
DictionaryDiagram.10040102.1,词条解锁,Unlocking Affixes,特性解放,옵션 오픈,詞條解鎖,DictionaryDiagram.json
DictionaryDiagram.10040103.1,词条契合度,Affix Synergy,特性のマッチ度,옵션 호환도,詞條契合度,DictionaryDiagram.json
DictionaryDiagram.10060101.1,天赋概述,Talent Description,心相,특성 설명,天賦概述,DictionaryDiagram.json
DictionaryDiagram.10060102.1,天赋效果,Talent Effect,心相の効果,특성 효과,天賦效果,DictionaryDiagram.json
DictionaryDiagram.10070101.1,默契概述,Affinity Description,信頼,호감도 설명,默契概述,DictionaryDiagram.json
DictionaryDiagram.10070102.1,默契获取-伙伴任务,Increase Affinity - Affinity Task,パートナー任務,호감도 획득 - 파트너 임무,默契獲得-夥伴任務,DictionaryDiagram.json
DictionaryDiagram.10080101.1,旅人纹章,Trekker Emblem,巡遊者徽章,여행가 배지,旅人紋章,DictionaryDiagram.json
DictionaryDiagram.10080102.1,纹章素材,Emblem Material,徽章素材,배지 재료,紋章素材,DictionaryDiagram.json
DictionaryDiagram.10080103.1,旅人偏好,Trekker Preference,徽章スロット,여행가 취향,旅人偏好,DictionaryDiagram.json
DictionaryDiagram.10080104.1,纹章铸造,Emblem Forging,徽章の鋳造,배지 연성,紋章鑄造,DictionaryDiagram.json
DictionaryDiagram.10080105.1,纹章重铸,Emblem Reforging,特性の再抽選,배지 재련,紋章重鑄,DictionaryDiagram.json
DictionaryDiagram.10080106.1,重铸锁定,Reforge Locking,特性ロック,재련 잠금,重鑄鎖定,DictionaryDiagram.json
DictionaryDiagram.10080107.1,纹章跃升,Emblem Tempering,特性強化,배지 강화,紋章躍升,DictionaryDiagram.json
DictionaryDiagram.20020101.1,星塔-概述,Monolith: Description,星ノ塔探索,별의 탑-설명,星塔-概述,DictionaryDiagram.json
DictionaryDiagram.20020102.1,星塔-潜能,Monolith: Potential,素質,별의 탑-잠재력,星塔-潛能,DictionaryDiagram.json
DictionaryDiagram.20020103.1,星塔-音符,Monolith: Musical Note,音符,별의 탑-소리,星塔-音符,DictionaryDiagram.json
DictionaryDiagram.20020104.1,星塔-协奏技能,Monolith: Harmony Skill,アシスト効果,별의 탑-협주 스킬,星塔-協奏技能,DictionaryDiagram.json
DictionaryDiagram.20020105.1,星塔-事件,Monolith: Event,イベント,별의 탑-사건,星塔-事件,DictionaryDiagram.json
DictionaryDiagram.20020107.1,星塔-纪录,Monolith: Records,記録,별의 탑-기록,星塔-紀錄,DictionaryDiagram.json
DictionaryDiagram.20020201.1,概述,Description,星ノ塔研究,설명,概述,DictionaryDiagram.json
DictionaryDiagram.20020202.1,研究层级,Research Layers,研究段階,연구 단계,研究層級,DictionaryDiagram.json
DictionaryDiagram.20020203.1,研究条件,Research Requirements,研究条件,연구 조건,研究條件,DictionaryDiagram.json
DictionaryDiagram.20030101.1,纪录概述,Record Description,記録,기록 설명,紀錄概述,DictionaryDiagram.json
DictionaryDiagram.20030102.1,潜能与祝福,Potentials and Blessings,素質と音符,잠재력과 축복,潛能與祝福,DictionaryDiagram.json
DictionaryDiagram.20030204.1,潜能预设-分享与导入,Potential Presets: Share & Import,素質プリセット-共有とインポート,잠재력 프리셋-공유 및 가져오기,潛能預設-分享與匯入,DictionaryDiagram.json
DictionaryDiagram.20040101.1,旅行故事,Travel Story,ストーリー,여행 스토리,旅行故事,DictionaryDiagram.json
DictionaryDiagram.20050101.1,日常勤务,Daily Task,基礎研修,일상 업무,日常勤務,DictionaryDiagram.json
DictionaryDiagram.20060101.1,强敌讨伐,Enemy Hunting,首領討伐,강적 토벌,強敵討伐,DictionaryDiagram.json
DictionaryDiagram.20070101.1,纹章本,Emblem Hunting,徽章ダンジョン,배지 던전,紋章冊,DictionaryDiagram.json
DictionaryDiagram.20080103.1,巅峰秀场,Summit Show,頂上決戦,정상결전,巔峰秀場,DictionaryDiagram.json
DictionaryDiagram.20090101.1,属性增益,Stat Bonus,ステータス強化,속성 버프,屬性增益,DictionaryDiagram.json
DictionaryDiagram.20090102.1,主位-主旋律技能,Main Slot: Melody Skill,メイン枠のコア効果,메인-멜로디 스킬,主位-主旋律技能,DictionaryDiagram.json
DictionaryDiagram.20090103.1,主位-协奏技能,Main Slot: Harmony Skill,メイン枠のアシスト効果,메인-협주 스킬,主位-協奏技能,DictionaryDiagram.json
DictionaryDiagram.20090104.1,辅位-初始音符,Support Slot: Initial Musical Note,サブ枠の初期音符,보조-기본 소리,輔位-初始音符,DictionaryDiagram.json
DictionaryDiagram.20100101.1,联系人,Contacts,連絡先,연락처,聯絡人,DictionaryDiagram.json
DictionaryDiagram.20100102.1,聊天会话,Chats,チャット,메시지 대화,聊天對話,DictionaryDiagram.json
DictionaryDiagram.20100103.1,切换聊天,Chat History,チャット履歴,대화창 전환,切換聊天,DictionaryDiagram.json
DictionaryDiagram.20110101.1,干劲简介,Vigor Description,やる気,활력 설명,活力簡介,DictionaryDiagram.json
DictionaryDiagram.20110102.1,手动恢复,Vigor Recovery,やる気の回復,직접 회복,手動恢復,DictionaryDiagram.json
DictionaryDiagram.20110103.1,干劲储备,Vigor Reserve,やる気ストック,활력 저장,活力儲備,DictionaryDiagram.json
DictionaryDiagram.20120101.1,玩法概述,Gameplay Overview,無限リング,콘텐츠 설명,玩法概述,DictionaryDiagram.json
DictionaryDiagram.20120102.1,擂台规则,Arena Rules,リングのルール,아레나 규칙,擂台規則,DictionaryDiagram.json
DictionaryDiagram.20130102.1,灾变防线-编队,Cataclysm Survivor: Squads,編成,재앙의 전선-편성,災變防線-編隊,DictionaryDiagram.json
DictionaryDiagram.20130103.1,灾变防线-奖励,Cataclysm Survivor: Rewards,報酬,재앙의 전선-보상,災變防線-獎勵,DictionaryDiagram.json
DictionaryDiagram.20130104.1,灾变防线-天赋,Cataclysm Survivor: Talent Points,防衛作戦,재앙의 전선-특성,災變防線-天賦,DictionaryDiagram.json
DictionaryDiagram.20130201.1,灾变防线-等级,Cataclysm Survivor: Level,レベル,재앙의 전선-레벨,災變防線-等級,DictionaryDiagram.json
DictionaryDiagram.20130202.1,灾变防线-特殊奖励,Cataclysm Survivor: Special Rewards,特別報酬,재앙의 전선-특별 보상,災變防線-特殊獎勵,DictionaryDiagram.json
DictionaryDiagram.20130203.1,灾变防线-特殊机制,Cataclysm Survivor: Special Mechanism,特殊ギミック,재앙의 전선-특수 기믹,災變防線-特殊機制,DictionaryDiagram.json
DictionaryDiagram.20140102.1,素材产出,Material Drops,素材,재료 생성,材料產出,DictionaryDiagram.json
DictionaryDiagram.20150102.1,总星数计算,Total Star Count,星数の合計計算,총 성급 계산,總星數計算,DictionaryDiagram.json
DictionaryDiagram.20150103.1,奖励规则,Rewards,報酬,보상 규칙,獎勵規則,DictionaryDiagram.json
DictionaryDiagram.20150104.1,分数获取途经,How to Score,ポイント,점수 획득 경로,分數取得方式,DictionaryDiagram.json
DictionaryDiagram.20150105.1,星数转化规则,How to Get Stars,星の獲得方法,성급 전환 규칙,星數轉化規則,DictionaryDiagram.json
DictionaryDiagram.20150106.1,锁定,Lock-In Mechanics,巡遊者のロック,고정,鎖定,DictionaryDiagram.json
DictionaryDiagram.20160101.1,终焉绝响,A Finale Echoing,大討伐作戦,종언의 노래,終焉絕響,DictionaryDiagram.json
DictionaryDiagram.20160102.1,挑战难度,Challenge Difficulty,挑戦難易度と模擬戦,도전 난이도,挑戰難度,DictionaryDiagram.json
DictionaryDiagram.20160201.1,联合战斗,Joint Battle,協力戦闘,연합 전투,聯合戰鬥,DictionaryDiagram.json
DictionaryDiagram.20170101.1,玩法概述,Gameplay Overview,連合大捕物帖-遊び方,콘텐츠 설명,玩法概述,DictionaryDiagram.json
DictionaryDiagram.20170102.1,授予委托书,Permits Issuance,連合大捕物帖-依頼書の授与,의뢰서 수여,授予委託書,DictionaryDiagram.json
DictionaryDiagram.20170103.1,追踪,Tracking,連合大捕物帖-追跡,추적,追蹤,DictionaryDiagram.json
DictionaryDiagram.20170104.1,协助讨伐,Co-op Hunt,連合大捕物帖-討伐救援,협력 토벌,協助討伐,DictionaryDiagram.json
DictionaryDiagram.20170105.1,围猎等级,Siege Level,連合大捕物帖-捕物レベル,사냥 레벨,圍獵等級,DictionaryDiagram.json
DictionaryDiagram.30010101.1,基本操作,Basic Controls,基本操作,기본 조작,基本操作,DictionaryDiagram.json
DictionaryDiagram.30010501.1,战斗操作-普通攻击,Combat Controls: Auto Attack,主力巡遊者操作-通常攻撃,전투 조작-일반 공격,戰鬥操作-普通攻擊,DictionaryDiagram.json
DictionaryDiagram.30010601.1,战斗操作-主控技能,Combat Control: Main Skill,主力巡遊者操作-主力スキル,전투 조작-메인 스킬,戰鬥操作-主控技能,DictionaryDiagram.json
DictionaryDiagram.30010701.1,战斗操作-充能,Combat Controls: Energy Charge,主力巡遊者操作-チャージ,전투 조작-SP 회복,戰鬥操作-蓄能,DictionaryDiagram.json
DictionaryDiagram.30010801.1,战斗操作-闪避,Combat Controls: Dodge,主力巡遊者操作-回避,전투 조작-회피,戰鬥操作-閃避,DictionaryDiagram.json
DictionaryDiagram.30010901.1,战斗操作-疾跑,Combat Controls: Dash,主力巡遊者操作-ダッシュ,전투 조작-빠른 발놀림,戰鬥操作-疾跑,DictionaryDiagram.json
DictionaryDiagram.30011001.1,战斗操作-援护角色技能,Combat Controls: Support Skill,支援巡遊者操作-支援巡遊者スキル,전투 조작-지원 캐릭터 스킬,戰鬥操作-援護角色技能,DictionaryDiagram.json
DictionaryDiagram.30011101.1,战斗操作-援护角色绝招,Combat Controls: Support Ultimate,支援巡遊者操作-支援巡遊者必殺技,전투 조작-지원 캐릭터 필살기,戰鬥操作-援護角色絕招,DictionaryDiagram.json
DictionaryDiagram.30011201.1,元素属性-印记,Element: Marks,戦闘システム-印,원소 속성-표식,元素屬性-印記,DictionaryDiagram.json
DictionaryDiagram.30011202.1,元素印记-组队,Elemental Mark - Squad,元素の印-編成,원소 표식-파티,元素印記-組隊,DictionaryDiagram.json
DictionaryDiagram.30011301.1,元素属性-弱点与抵抗,Element: Vulnerability & Resistance,戦闘システム-敵の属性,원소 속성-약점과 저항,元素屬性-弱點與抵抗,DictionaryDiagram.json
DictionaryDiagram.30011302.1,元素属性-弱点与抵抗,Element: Vulnerability & Resistance,戦闘システム-属性相性,원소 속성-약점과 저항,元素屬性-弱點與抵抗,DictionaryDiagram.json
DictionaryDiagram.30011401.1,元素属性-推荐,Element: Recommendation,戦闘システム-推奨属性,원소 속성-추천,元素屬性-推薦,DictionaryDiagram.json
DictionaryDiagram.30011701.1,元素属性-印记触发,Element: Mark Trigger,戦闘システム-印発動,원소 속성-표식 발동,元素屬性-印記觸發,DictionaryDiagram.json
DictionaryDiagram.30011801.1,音符来源,Musical Note Source,音符の獲得方法,소리 획득 경로,音符來源,DictionaryDiagram.json
DictionaryDiagram.40010101.1,玩法概述,Gameplay Overview,遊び方,콘텐츠 설명,玩法概述,DictionaryDiagram.json
DictionaryDiagram.40010102.1,寻宝铲获取,How to Obtain Treasure Shovels,ラッキーシャベル,보물삽 획득,獲得尋寶鏟,DictionaryDiagram.json
DictionaryDiagram.40010103.1,耐久度,Durability,耐久値,내구도,耐久度,DictionaryDiagram.json
DictionaryDiagram.40010104.1,宝藏形状,Treasure Shape,お宝の形,보물 모양,寶藏形狀,DictionaryDiagram.json
DictionaryDiagram.40010105.1,宝藏价值,Treasure Value,お宝の価値,보물 가치,寶藏價值,DictionaryDiagram.json
DictionaryDiagram.40010106.1,层级更替及角色支援,Floor Progression & Trekker Support,階層の切り替えと巡遊者支援,층 변경 및 캐릭터 서포팅,層級更替及角色支援,DictionaryDiagram.json
DictionaryDiagram.40020101.1,游棋保卫战-基础玩法,Chess Defense - Basic Gameplay,守れ！星ノ塔-遊び方,스텔라 디펜스-기본 플레이,遊棋保衛戰-基礎玩法,DictionaryDiagram.json
DictionaryDiagram.40020201.1,游棋保卫战-角色升级,Chess Defense - Character Upgrade,守れ！星ノ塔-レベルアップ,스텔라 디펜스-캐릭터 업그레이드,遊棋保衛戰-角色升級,DictionaryDiagram.json
DictionaryDiagram.40020301.1,游棋保卫战-道具卡,Chess Defense - Item Card,守れ！星ノ塔-アイテムカード,스텔라 디펜스-아이템 카드,遊棋保衛戰-道具卡,DictionaryDiagram.json
DictionaryDiagram.40020401.1,游棋保卫战-棋子介绍,Chess Defense - About Piece,守れ！星ノ塔-駒紹介,스텔라 디펜스-말 소개,遊棋保衛戰-棋子介紹,DictionaryDiagram.json
DictionaryDiagram.40020501.1,游棋保卫战-落水,Chess Defense: Drowning,守れ！星ノ塔-落水,스텔라 디펜스-입수,遊棋保衛戰-落水,DictionaryDiagram.json
DictionaryDiagram.40020502.1,游棋保卫战-拉动,Chess Defense: Pulling,守れ！星ノ塔-引き寄せ,스텔라 디펜스-당기기,遊棋保衛戰-拉動,DictionaryDiagram.json
