category,source,target,tgt_lng
01_character,爱露,アル,ja-JP
01_character,亞瑠,アル,ja-JP
01_character,Aru,アル,ja-JP
01_character,아루,アル,ja-JP
01_character,อารุ,アル,ja-JP
01_character,艾米,エイミ,ja-JP
01_character,英美,エイミ,ja-JP
01_character,Eimi,エイミ,ja-JP
01_character,에이미,エイミ,ja-JP
01_character,เอมิ,エイミ,ja-JP
01_character,晴奈,ハルナ,ja-JP
01_character,羽留奈,ハルナ,ja-JP
01_character,Haruna,ハルナ,ja-JP
01_character,하루나,ハルナ,ja-JP
01_character,ฮารุนะ,ハルナ,ja-JP
01_character,日富美,ヒフミ,ja-JP
01_character,日步美,ヒフミ,ja-JP
01_character,Hifumi,ヒフミ,ja-JP
01_character,히후미,ヒフミ,ja-JP
01_character,ฮิฟุมิ,ヒフミ,ja-JP
01_character,日奈,ヒナ,ja-JP
01_character,陽奈,ヒナ,ja-JP
01_character,Hina,ヒナ,ja-JP
01_character,히나,ヒナ,ja-JP
01_character,ฮินะ,ヒナ,ja-JP
01_character,星野,ホシノ,ja-JP
01_character,Hoshino,ホシノ,ja-JP
01_character,호시노,ホシノ,ja-JP
01_character,โฮชิโนะ,ホシノ,ja-JP
01_character,伊织,イオリ,ja-JP
01_character,伊織,イオリ,ja-JP
01_character,Iori,イオリ,ja-JP
01_character,이오리,イオリ,ja-JP
01_character,อิโอริ,イオリ,ja-JP
01_character,真纪,マキ,ja-JP
01_character,真紀,マキ,ja-JP
01_character,Maki,マキ,ja-JP
01_character,마키,マキ,ja-JP
01_character,มากิ,マキ,ja-JP
01_character,妮露,ネル,ja-JP
01_character,寧瑠,ネル,ja-JP
01_character,Neru,ネル,ja-JP
01_character,네루,ネル,ja-JP
01_character,เนรุ,ネル,ja-JP
01_character,泉,イズミ,ja-JP
01_character,Izumi,イズミ,ja-JP
01_character,이즈미,イズミ,ja-JP
01_character,อิซุมิ,イズミ,ja-JP
01_character,白子,シロコ,ja-JP
01_character,Shiroko,シロコ,ja-JP
01_character,시로코,シロコ,ja-JP
01_character,ชิโรโกะ,シロコ,ja-JP
01_character,瞬,シュン,ja-JP
01_character,旬,シュン,ja-JP
01_character,Shun,シュン,ja-JP
01_character,슌,シュン,ja-JP
01_character,ชุน,シュン,ja-JP
01_character,堇,スミレ,ja-JP
01_character,Sumire,スミレ,ja-JP
01_character,스미레,スミレ,ja-JP
01_character,สึมิเระ,スミレ,ja-JP
01_character,鹤城,ツルギ,ja-JP
01_character,弦生,ツルギ,ja-JP
01_character,Tsurugi,ツルギ,ja-JP
01_character,츠루기,ツルギ,ja-JP
01_character,ซึรุกิ,ツルギ,ja-JP
01_character,泉奈,イズナ,ja-JP
01_character,伊樹菜,イズナ,ja-JP
01_character,Izuna,イズナ,ja-JP
01_character,이즈나,イズナ,ja-JP
01_character,อิซุนะ,イズナ,ja-JP
01_character,爱丽丝,アリス,ja-JP
01_character,愛麗絲,アリス,ja-JP
01_character,Aris,アリス,ja-JP
01_character,아리스,アリス,ja-JP
01_character,อาริสึ,アリス,ja-JP
01_character,绿,ミドリ,ja-JP
01_character,綠,ミドリ,ja-JP
01_character,Midori,ミドリ,ja-JP
01_character,미도리,ミドリ,ja-JP
01_character,มิโดริ,ミドリ,ja-JP
01_character,切里诺,チェリノ,ja-JP
01_character,潔莉諾,チェリノ,ja-JP
01_character,Cherino,チェリノ,ja-JP
01_character,체리노,チェリノ,ja-JP
01_character,เชริโน่,チェリノ,ja-JP
01_character,柚子,ユズ,ja-JP
01_character,Yuzu,ユズ,ja-JP
01_character,유즈,ユズ,ja-JP
01_character,ยูสึ,ユズ,ja-JP
01_character,梓,アズサ,ja-JP
01_character,Azusa,アズサ,ja-JP
01_character,아즈사,アズサ,ja-JP
01_character,อาซึสะ,アズサ,ja-JP
01_character,小春,コハル,ja-JP
01_character,Koharu,コハル,ja-JP
01_character,코하루,コハル,ja-JP
01_character,โคฮารุ,コハル,ja-JP
01_character,梓（泳装）,アズサ（水着）,ja-JP
01_character,梓(泳裝),アズサ（水着）,ja-JP
01_character,Azusa (Swimsuit),アズサ（水着）,ja-JP
01_character,아즈사(수영복),アズサ（水着）,ja-JP
01_character,อาซึสะ (ชุดว่ายน้ำ),アズサ（水着）,ja-JP
01_character,日奈（泳装）,ヒナ（水着）,ja-JP
01_character,陽奈(泳裝),ヒナ（水着）,ja-JP
01_character,Hina (Swimsuit),ヒナ（水着）,ja-JP
01_character,히나(수영복),ヒナ（水着）,ja-JP
01_character,ฮินะ (ชุดว่ายน้ำ),ヒナ（水着）,ja-JP
01_character,伊织（泳装）,イオリ（水着）,ja-JP
01_character,伊織(泳裝),イオリ（水着）,ja-JP
01_character,Iori (Swimsuit),イオリ（水着）,ja-JP
01_character,이오리(수영복),イオリ（水着）,ja-JP
01_character,อิโอริ (ชุดว่ายน้ำ),イオリ（水着）,ja-JP
01_character,白子（骑行）,シロコ（ライディング）,ja-JP
01_character,白子(單車),シロコ（ライディング）,ja-JP
01_character,Shiroko (Cycling),シロコ（ライディング）,ja-JP
01_character,시로코(라이딩),シロコ（ライディング）,ja-JP
01_character,ชิโรโกะ (นักปั่น),シロコ（ライディング）,ja-JP
01_character,瞬（小）,シュン（幼女）,ja-JP
01_character,旬(幼女),シュン（幼女）,ja-JP
01_character,Shun (Small),シュン（幼女）,ja-JP
01_character,슌(어린이),シュン（幼女）,ja-JP
01_character,ชุน (วัยเด็ก),シュン（幼女）,ja-JP
01_character,妮露（邦妮）,ネル（バニーガール）,ja-JP
01_character,寧瑠(兔女郎),ネル（バニーガール）,ja-JP
01_character,Neru (Bunny),ネル（バニーガール）,ja-JP
01_character,네루(바니걸),ネル（バニーガール）,ja-JP
01_character,เนรุ (บันนี่เกิร์ล),ネル（バニーガール）,ja-JP
01_character,花凛（邦妮）,カリン（バニーガール）,ja-JP
01_character,花凛(兔女郎),カリン（バニーガール）,ja-JP
01_character,Karin (Bunny),カリン（バニーガール）,ja-JP
