category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
07_terminology,术语,SquadType.Main,突击,STRIKER,STRIKER,STRIKER,STRIKER,STRIKER,localization.json:SquadType
07_terminology,术语,SquadType.Support,支援,SPECIAL,SPECIAL,SPECIAL,SPECIAL,SPECIAL,localization.json:SquadType
07_terminology,术语,BulletType.Explosion,爆发,爆発,爆炸,Explosive,폭발,ระเบิด,localization.json:BulletType
07_terminology,术语,BulletType.Pierce,贯穿,貫通,貫通,Piercing,관통,เจาะเกราะ,localization.json:BulletType
07_terminology,术语,BulletType.Mystic,神秘,神秘,神秘,Mystic,신비,ลึกลับ,localization.json:BulletType
07_terminology,术语,BulletType.Normal,普通,ノーマル,常規,Normal,일반,ทั่วไป,localization.json:BulletType
07_terminology,术语,BulletType.Sonic,振动,振動,振動,Sonic,진동,สั่นสะเทือน,localization.json:BulletType
07_terminology,术语,BulletType.Mixed,轮换,様々,輪換,Varies,다양함,หลากหลาย,localization.json:BulletType
07_terminology,术语,ArmorType.LightArmor,轻装甲,軽装備,輕型護甲,Light,경장갑,เกราะเบา,localization.json:ArmorType
07_terminology,术语,ArmorType.HeavyArmor,重装甲,重装甲,重型裝甲,Heavy,중장갑,เกราะหนัก,localization.json:ArmorType
07_terminology,术语,ArmorType.Unarmed,特殊装甲,特殊装甲,特殊裝甲,Special,특수장갑,เกราะพิเศษ,localization.json:ArmorType
07_terminology,术语,ArmorType.ElasticArmor,弹力装甲,弾力装甲,彈性裝甲,Elastic,탄력장갑,เกราะยืดหยุ่น,localization.json:ArmorType
07_terminology,术语,ArmorType.Normal,一般装甲,通常装甲,常規護甲,Normal,일반장갑,เกราะทั่วไป,localization.json:ArmorType
07_terminology,术语,ArmorType.Structure,结构物,構造物,結構物,Structure,구조물,สิ่งปลูกสร้าง,localization.json:ArmorType
07_terminology,术语,ArmorTypeLong.LightArmor,轻装甲,軽装備,輕型護甲,Light Armor,경장갑,เกราะเบา,localization.json:ArmorTypeLong
