category,label,description
01_character,角色与卡牌,"可战斗猫娘（卡牌）名称、猫形、职业、种族、皮肤、专属台词与角色档案"
02_skill,技能与战斗效果,"技能名称、技能关键词、被动/觉醒技能与效果说明"
03_talent,天赋与觉醒,"角色天赋名称与天赋效果"
04_equipment,装备与专属武器,"装备、专属武器、装备部位与筛选分类"
05_item,道具与材料,"消耗品、礼物、素材、货币等道具名称与说明"
06_enemy,敌人与BOSS,"敌方目标及相关说明文本"
07_stage,关卡与章节,"主线章节、日常副本、迷宫、爬塔、挑战关卡"
08_event,活动玩法,"限时活动、节日活动、排行榜、世界BOSS等玩法"
09_gacha,抽卡与兑换,"卡池说明、召唤任务与兑换规则"
10_shop,商店与礼包,"商店、通行证、时装合约与各类礼包"
11_homeland,家园与猫咖,"猫咖/餐厅、钓鱼、俱乐部、家园天赋等休闲玩法"
12_system,系统与任务,"功能开关、新手引导、任务、图鉴、地区玩法、签到等"
13_ui,UI与界面文本,"客户端界面文本（取自 I18N 文本表）"
14_story,剧情专有名词,"剧情登场角色名、场景名、字幕与小剧场"
15_location,地点与区域,"地图、区域、战斗场景、电话区号等"
16_terminology,游戏机制术语,"属性、元素、克制关系、增益/减益等机制用语"
