src_table,category,entry_count
Activity/ActivityCake/ActivityCakeBossLevelVo.txt,08_event,3
Activity/ActivityCake/ActivityCakeDailyTaskVo.txt,08_event,3
Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt,08_event,112
Activity/ActivityCake/ActivityCakeMainLinePlaceVo.txt,08_event,12
Activity/ActivityCake/ActivityCakeSplitRankRewardVo.txt,08_event,3
Activity/ActivityCake/ActivityCakeTaskVo.txt,08_event,21
Activity/ActivityCrisis/CrisisEventEntryGatherVo.txt,08_event,72
Activity/ActivityCrisis/CrisisEventEntryVo.txt,08_event,1002
Activity/ActivityCrisis/CrisisEventLevelVo.txt,08_event,22
Activity/ActivityCrisis/CrisisEventRankVo.txt,08_event,12
Activity/ActivityCrisis/CrisisEventTaskVo.txt,08_event,162
Activity/BattleCardGame/CardDefine.txt,08_event,71
Activity/BattleCardGame/CardKind.txt,08_event,7
Activity/BattleCardGame/Collection.txt,08_event,10
Activity/BattleCardGame/DeckLimit.txt,08_event,4
Activity/BattleCardGame/NpcQuest.txt,08_event,113
Activity/BattleCardGame/RuleDefine.txt,08_event,44
Activity/ContractOfFood/Annihilation/Quest.txt,08_event,5
Activity/ContractOfFood/Annihilation/Type.txt,08_event,1
Activity/ContractOfFood/DreamAdventuresDumpling.txt,08_event,40
Activity/ContractOfFood/DreamAdventuresDumplingMatch.txt,08_event,22
Activity/ContractOfFood/DreamAdventuresDumplingMaterial.txt,08_event,5
Activity/ContractOfFood/DreamAdventuresDumplingScore.txt,08_event,12
Activity/ContractOfFood/DreamAdventuresMainLines.txt,08_event,42
Activity/ContractOfFood/DreamAdventuresMap.txt,08_event,5
Activity/ContractOfFood/DreamAdventuresQuestLuby.txt,08_event,6
Activity/ContractOfFood/DreamAdventuresQuestLubyEntry.txt,08_event,5
Activity/ContractOfFood/DreamAdventuresQuestLubyEvents.txt,08_event,8
Activity/ContractOfFood/DreamAdventuresQuestPlot.txt,08_event,88
Activity/Cooking/ActivityCookingConfig.txt,08_event,1
Activity/Cooking/ActivityCookingIngredients.txt,08_event,72
Activity/Cooking/ActivityCookingKitchenware.txt,08_event,36
Activity/Cooking/ActivityCookingLevel.txt,08_event,66
Activity/GachaSkin/GachaSkinExchange.txt,08_event,75
Activity/GachaSkin/GachaSkinExchangeTask.txt,08_event,379
Activity/JapaneseStory/JapaneseStoryBossRankRewards.txt,08_event,3
Activity/JapaneseStory/JapaneseStoryChapter.txt,08_event,3
Activity/JapaneseStory/JapaneseStoryEntry.txt,08_event,5
Activity/JapaneseStory/JapaneseStoryQuest.txt,08_event,34
Activity/JapaneseStory/JapaneseStoryRoleLine.txt,08_event,32
Activity/MiniWorld/MiniWorldBuffItemVo.txt,08_event,16
Activity/MiniWorld/MiniWorldEntry.txt,08_event,6
Activity/MiniWorld/MiniWorldFreeExploreRankRewaordVo.txt,08_event,1
Activity/MiniWorld/MiniWorldMainLevelVo.txt,08_event,30
Activity/MiniWorld/MiniWorldParkourLevelVo.txt,08_event,10
Activity/MiniWorld/MiniWorldTaskVo.txt,08_event,12
Activity/MiniWorld/MiniWorldThreeStarsConditionVO.txt,08_event,15
