category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
12_item,道具,Item.1,启动石碎片,キーストーンのカケラ,啟動石碎片,Keystone Piece,기동석 조각,เศษคีย์สโตน,items.json
12_item,道具,Item.2,加速券,ブースターチケット,加成券,Booster Ticket,부스터 티켓,ตั๋วเร่งเวลา,items.json
12_item,道具,Item.3,启动石,キーストーン,啟動石,Keystone,기동석,คีย์สโตน,items.json
12_item,道具,Item.7,总力战硬币,総力戦コイン,總力戰硬幣,Total Assault Coin,총력전 코인,เหรียญเรดบอส,items.json
12_item,道具,Item.8,战术硬币,戦術コイン,戰術硬幣,Tactical Challenge Coin,전술 대회 코인,เหรียญอารีน่า,items.json
12_item,道具,Item.9,稀有总力战硬币,総力戦レアコイン,高級總力戰硬幣,Advanced Total Assault Coin,상급 총력전 코인,เหรียญเรดบอสขั้นสูง,items.json
12_item,道具,Item.10,初级活动报告,初級レポート,初級活動報告,Novice Activity Report,초급 활동 보고서,รายงานขั้นต่ำ,items.json
12_item,道具,Item.11,中级活动报告,中級レポート,一般活動報告,Normal Activity Report,일반 활동 보고서,รายงานขั้นกลาง,items.json
12_item,道具,Item.12,高级活动报告,上級レポート,高級活動報告,Advanced Activity Report,상급 활동 보고서,รายงานขั้นสูง,items.json
12_item,道具,Item.13,最高级活动报告,最上級レポート,最高級活動報告,Superior Activity Report,최상급 활동 보고서,รายงานขั้นสูงสุด,items.json
12_item,道具,Item.23,神名碎片,神名のカケラ,神名文字碎片,Eligma,엘리그마,เอลลิกมา,items.json
12_item,道具,Item.30,咖啡厅设备核心 LV1,カフェ設備コアLv1,咖啡廳設備核心 LV1,Cafe Facilities Core Lv. 1,카페 설비 코어 LV1,แก่นอุปกรณ์คาเฟ่ LV1,items.json
12_item,道具,Item.31,咖啡厅设备核心 LV2,カフェ設備コアLv2,咖啡廳設備核心 LV2,Cafe Facilities Core Lv. 2,카페 설비 코어 LV2,แก่นอุปกรณ์คาเฟ่ LV2,items.json
12_item,道具,Item.32,咖啡厅设备核心 LV3,カフェ設備コアLv3,咖啡廳設備核心 LV3,Cafe Facilities Core Lv. 3,카페 설비 코어 LV3,แก่นอุปกรณ์คาเฟ่ LV3,items.json
12_item,道具,Item.60,火力演习硬币,火力演習コイン,綜合戰術考試硬幣,Joint Firing Drill Coin,종합전술시험 코인,เหรียญสอบประมวล,items.json
12_item,道具,Item.61,悬赏通缉硬币,指名手配コイン,懸賞通緝硬幣,Bounty Coins,현상수배 코인,เหรียญประกาศจับ,items.json
12_item,道具,Item.70,大决战硬币,大決戦コイン,大決戦コイン,Grand Battle Coin,대결전 코인,เหรียญศึกตัดสิน,items.json
